"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022/11/1,"3,614 ","13,390 ","40,071 ","35,788 ","24,151 ","13,755 ","10,520 ","3,716 ","3,094 ","13,279 ","1,834 ","4,308 ","3,874 ","9,329 ","9,757 ","16,913 ","17,468 ","5,460 ","8,822 ","2,679 ","8,326 ","8,357 ","6,470 ","25,063 ","3,222 ","9,798 ","12,401 ","14,699 ","22,217 ","15,514 ","9,176 ","24,052 ","14,710 ","30,160 ","23,094 ","10,714 ","33,346 ","24,241 ","24,078 ","18,786 ","21,613 ","97,987 ","35,362 ","18,821 ","21,011 ","23,323 ","22,873 ","23,876 ","20,265 ","12,074 ","28,552 ","6,476 ","7,794 ","17,516 ","4,086 ","3,360 ","3,059 ","13,657 ","8,780 ","11,621 ","25,934 ","8,145 ","11,634 ","7,327 ","21,211 ","22,625 ","23,004 ","34,792 ","36,313 ","24,881 ","22,093 ","46,251 ","22,618 ","28,611 ","28,317 ","17,748 ","55,098 ","19,846 ","14,596 ","13,336 ","18,736 ","11,370 ","23,724 ","18,088 ","6,477 ","10,912 ","36,196 ","21,192 ","23,545 ","20,521 ","14,093 ","10,489 ","5,664 ","4,849 ","6,809 ","10,175 ","9,399 ","10,917 ","16,313 ","26,640 ","20,738 ","13,102 ","11,993 ","12,083 ","11,711 ","11,252 ","10,620 ","8,560 ","1,513 ","2,581 ","4,233 ","4,729 ","2,488 ","3,736 ","3,165 ","7,348 ","2,471 ","3,922 ","5,282 "
2022/11/2,"3,572 ","13,384 ","40,111 ","36,458 ","23,851 ","13,528 ","10,602 ","3,754 ","3,008 ","13,287 ","2,045 ","4,155 ","4,356 ","9,455 ","10,100 ","16,888 ","17,394 ","5,515 ","9,259 ","2,921 ","8,787 ","8,692 ","6,393 ","26,134 ","3,199 ","10,254 ","12,674 ","14,778 ","22,596 ","15,638 ","9,238 ","24,949 ","15,071 ","30,320 ","22,944 ","10,493 ","33,474 ","24,177 ","23,830 ","18,954 ","21,883 ","100,587 ","36,735 ","19,334 ","21,195 ","23,966 ","23,050 ","24,176 ","20,801 ","12,167 ","29,458 ","6,378 ","7,836 ","18,350 ","4,368 ","3,484 ","3,225 ","13,770 ","9,198 ","11,868 ","27,419 ","8,273 ","12,082 ","7,462 ","21,557 ","22,470 ","23,611 ","35,082 ","36,156 ","25,308 ","22,582 ","48,514 ","23,034 ","29,361 ","28,964 ","18,440 ","57,402 ","19,829 ","14,950 ","13,622 ","19,331 ","11,961 ","24,745 ","18,325 ","6,697 ","10,796 ","36,031 ","20,882 ","23,546 ","21,000 ","13,152 ","10,756 ","5,819 ","4,673 ","6,842 ","10,008 ","9,424 ","11,047 ","16,040 ","26,450 ","21,167 ","12,958 ","12,109 ","12,062 ","11,712 ","11,268 ","10,829 ","8,511 ","1,479 ","2,468 ","4,021 ","4,610 ","2,434 ","3,591 ","3,044 ","7,335 ","2,401 ","3,872 ","4,984 "
2022/11/3,"3,733 ","13,150 ","39,857 ","37,400 ","23,797 ","13,512 ","10,433 ","3,605 ","3,113 ","12,968 ","1,912 ","4,241 ","4,412 ","9,378 ","10,114 ","16,749 ","17,171 ","5,431 ","8,970 ","3,116 ","8,405 ","8,407 ","6,196 ","27,017 ","3,226 ","10,370 ","12,540 ","14,876 ","22,535 ","15,549 ","9,170 ","25,238 ","14,844 ","30,301 ","22,906 ","10,616 ","32,999 ","24,199 ","23,733 ","18,980 ","21,191 ","105,880 ","38,224 ","19,265 ","21,387 ","25,534 ","23,439 ","25,308 ","21,348 ","12,058 ","28,884 ","6,502 ","7,682 ","18,355 ","4,715 ","3,426 ","3,056 ","13,473 ","9,103 ","11,976 ","28,601 ","8,262 ","12,346 ","7,375 ","21,569 ","22,232 ","23,622 ","35,272 ","35,960 ","25,380 ","23,046 ","49,064 ","22,735 ","30,170 ","29,350 ","18,325 ","56,412 ","19,440 ","14,837 ","13,978 ","20,272 ","12,038 ","24,611 ","18,226 ","7,106 ","11,098 ","36,558 ","21,003 ","23,245 ","21,401 ","13,670 ","10,682 ","5,762 ","4,726 ","6,901 ","9,936 ","9,432 ","11,266 ","15,671 ","26,011 ","21,291 ","12,968 ","12,023 ","11,866 ","11,509 ","11,206 ","10,655 ","8,625 ","1,549 ","2,430 ","3,945 ","4,638 ","2,459 ","3,611 ","2,952 ","7,755 ","2,364 ","3,841 ","4,968 "
2022/11/4,"4,349 ","14,062 ","42,148 ","44,432 ","25,270 ","13,868 ","11,118 ","3,901 ","3,162 ","13,312 ","1,885 ","4,236 ","4,397 ","9,340 ","11,344 ","16,455 ","17,482 ","5,955 ","9,593 ","3,045 ","8,811 ","8,833 ","6,517 ","36,355 ","3,375 ","10,617 ","12,575 ","15,175 ","23,367 ","16,419 ","9,595 ","27,351 ","15,892 ","31,161 ","24,675 ","10,698 ","34,124 ","25,344 ","24,499 ","19,086 ","21,310 ","140,922 ","45,970 ","20,636 ","21,983 ","28,545 ","26,119 ","26,190 ","22,687 ","12,317 ","29,899 ","6,797 ","8,185 ","19,183 ","4,912 ","3,725 ","3,103 ","13,517 ","9,566 ","12,466 ","29,322 ","8,563 ","13,436 ","7,964 ","22,276 ","22,585 ","25,765 ","40,724 ","37,308 ","26,286 ","24,290 ","59,840 ","23,333 ","33,516 ","34,624 ","22,115 ","66,076 ","20,955 ","16,010 ","14,200 ","24,685 ","12,300 ","28,998 ","20,125 ","7,322 ","11,749 ","38,525 ","21,781 ","24,316 ","22,436 ","13,666 ","11,391 ","5,944 ","4,819 ","7,253 ","10,115 ","9,856 ","11,822 ","16,961 ","27,407 ","22,893 ","13,384 ","12,606 ","12,527 ","11,828 ","11,579 ","11,072 ","8,910 ","1,356 ","2,593 ","4,216 ","4,819 ","2,569 ","3,607 ","3,096 ","10,184 ","2,539 ","4,268 ","5,285 "
2022/11/5,"2,770 ","8,362 ","22,229 ","41,220 ","14,931 ","10,190 ","7,567 ","3,292 ","2,223 ","7,914 ","1,416 ","3,825 ","7,350 ","6,747 ","11,661 ","4,797 ","7,122 ","6,637 ","7,995 ","3,606 ","5,669 ","7,376 ","2,387 ","26,631 ","3,773 ","10,529 ","9,046 ","11,505 ","15,302 ","13,639 ","8,143 ","24,725 ","13,638 ","23,731 ","17,716 ","4,779 ","26,625 ","18,754 ","17,426 ","14,968 ","10,270 ","125,511 ","47,826 ","15,565 ","15,083 ","29,717 ","25,479 ","22,390 ","17,885 ","8,273 ","20,327 ","6,274 ","4,924 ","16,059 ","6,153 ","3,017 ","1,592 ","9,322 ","7,619 ","10,041 ","29,208 ","5,741 ","9,877 ","5,939 ","15,879 ","14,147 ","22,964 ","35,303 ","26,687 ","19,876 ","24,791 ","64,712 ","14,260 ","30,652 ","29,172 ","16,477 ","54,468 ","14,619 ","12,838 ","10,038 ","19,038 ","8,158 ","24,324 ","12,754 ","10,226 ","9,437 ","17,410 ","11,146 ","13,666 ","15,087 ","7,445 ","8,085 ","4,854 ","2,434 ","6,650 ","7,089 ","8,863 ","9,207 ","11,748 ","16,621 ","19,893 ","9,562 ","9,186 ","9,307 ","8,801 ","9,036 ","7,018 ","6,574 ",917 ,"2,191 ","2,867 ","4,207 ","1,221 ","1,319 ","1,946 ","8,153 ","1,876 ","3,235 ","3,376 "
2022/11/6,"2,531 ","6,505 ","16,277 ","31,638 ","10,932 ","8,078 ","5,761 ","3,058 ","1,838 ","6,510 ","1,290 ","2,541 ","6,974 ","5,258 ","9,792 ","4,079 ","5,555 ","3,174 ","6,356 ","2,739 ","4,588 ","4,927 ","2,031 ","23,202 ","3,623 ","9,285 ","7,818 ","9,842 ","12,905 ","11,564 ","6,893 ","21,932 ","11,049 ","18,810 ","14,778 ","3,970 ","22,890 ","15,964 ","14,807 ","13,147 ","7,795 ","110,720 ","38,598 ","11,198 ","13,638 ","26,065 ","20,768 ","19,373 ","15,231 ","6,868 ","17,354 ","6,298 ","4,247 ","14,234 ","5,471 ","2,611 ","1,284 ","9,050 ","6,742 ","9,353 ","29,542 ","5,216 ","7,954 ","5,040 ","13,570 ","11,237 ","18,313 ","29,801 ","22,398 ","16,344 ","19,243 ","52,636 ","12,874 ","25,436 ","19,917 ","12,661 ","43,422 ","12,207 ","10,711 ","7,285 ","15,311 ","7,512 ","21,114 ","9,687 ","10,100 ","7,909 ","12,874 ","8,698 ","10,221 ","11,228 ","6,787 ","6,671 ","3,823 ","1,907 ","5,951 ","5,906 ","6,978 ","7,967 ","9,152 ","12,821 ","16,668 ","7,856 ","7,439 ","7,790 ","7,164 ","7,356 ","6,314 ","5,358 ",800 ,"1,944 ","2,658 ","3,565 ","1,114 ","1,257 ","1,545 ","7,193 ","1,530 ","2,783 ","2,938 "
2022/11/7,"3,796 ","12,682 ","37,746 ","35,245 ","23,195 ","12,930 ","9,869 ","3,639 ","3,057 ","12,745 ","1,934 ","4,183 ","4,394 ","9,018 ","9,885 ","16,078 ","16,632 ","4,494 ","8,667 ","2,906 ","8,078 ","7,335 ","5,978 ","33,732 ","2,828 ","10,225 ","12,407 ","14,525 ","21,973 ","15,280 ","8,862 ","24,181 ","13,993 ","28,317 ","21,002 ","10,412 ","32,286 ","23,275 ","23,423 ","18,439 ","20,958 ","102,470 ","35,033 ","18,489 ","20,840 ","23,282 ","23,111 ","23,818 ","20,109 ","12,122 ","28,543 ","7,109 ","7,618 ","17,891 ","4,218 ","3,412 ","3,164 ","13,552 ","8,989 ","11,906 ","27,917 ","8,235 ","12,069 ","7,588 ","21,233 ","21,666 ","23,106 ","34,547 ","35,449 ","24,490 ","22,429 ","47,322 ","21,728 ","27,983 ","27,338 ","16,955 ","54,015 ","18,714 ","14,573 ","12,968 ","19,559 ","11,883 ","24,561 ","17,587 ","6,766 ","10,504 ","34,302 ","20,393 ","21,859 ","20,785 ","14,173 ","10,536 ","5,568 ","4,615 ","6,713 ","9,691 ","9,111 ","11,087 ","15,162 ","25,860 ","19,645 ","12,818 ","11,920 ","11,913 ","11,438 ","11,169 ","10,761 ","8,512 ","1,434 ","2,385 ","3,929 ","4,610 ","2,545 ","3,442 ","2,963 ","7,442 ","2,318 ","3,828 ","5,052 "
2022/11/8,"3,536 ","13,428 ","40,126 ","36,712 ","24,014 ","13,748 ","10,341 ","3,788 ","3,119 ","13,341 ","1,925 ","4,208 ","4,243 ","9,288 ","9,822 ","16,776 ","17,643 ","5,571 ","9,070 ","2,915 ","8,361 ","8,405 ","6,323 ","25,771 ","3,050 ","10,083 ","12,522 ","14,971 ","22,352 ","15,780 ","9,050 ","24,315 ","14,965 ","29,796 ","23,081 ","10,612 ","33,157 ","24,329 ","23,963 ","18,780 ","21,686 ","103,893 ","36,781 ","19,112 ","21,612 ","23,605 ","23,958 ","24,810 ","20,717 ","12,290 ","28,240 ","7,068 ","7,981 ","18,281 ","4,595 ","3,507 ","3,319 ","13,582 ","9,132 ","11,935 ","27,012 ","8,306 ","12,227 ","7,605 ","21,615 ","22,878 ","23,703 ","35,791 ","35,887 ","25,261 ","23,028 ","48,301 ","22,964 ","28,576 ","29,011 ","18,003 ","55,024 ","19,430 ","14,636 ","13,572 ","18,963 ","11,667 ","23,858 ","18,455 ","6,710 ","10,671 ","36,221 ","21,264 ","23,507 ","21,318 ","14,015 ","10,700 ","5,606 ","4,734 ","7,086 ","9,870 ","9,489 ","10,936 ","15,925 ","26,704 ","21,386 ","13,072 ","12,133 ","12,194 ","11,669 ","11,369 ","10,869 ","8,637 ","1,492 ","2,457 ","4,113 ","4,625 ","2,429 ","3,580 ","3,060 ","7,536 ","2,418 ","3,930 ","5,052 "
2022/11/9,"3,642 ","13,467 ","40,308 ","38,860 ","24,521 ","13,635 ","10,548 ","3,728 ","3,147 ","13,553 ","2,003 ","4,250 ","5,498 ","9,388 ","10,750 ","16,517 ","17,265 ","5,512 ","9,026 ","3,066 ","8,476 ","8,458 ","6,236 ","26,395 ","3,120 ","10,981 ","12,649 ","14,959 ","22,812 ","15,989 ","9,324 ","24,902 ","14,825 ","30,242 ","23,478 ","10,708 ","33,545 ","24,327 ","24,026 ","18,832 ","22,232 ","107,053 ","39,374 ","19,553 ","21,644 ","24,903 ","25,845 ","25,532 ","21,771 ","12,406 ","29,697 ","8,190 ","8,025 ","18,875 ","4,681 ","3,575 ","3,271 ","14,016 ","9,455 ","12,473 ","29,945 ","8,516 ","12,402 ","7,685 ","21,826 ","23,037 ","24,246 ","37,163 ","36,405 ","25,933 ","23,299 ","50,263 ","23,278 ","29,922 ","29,867 ","18,713 ","56,473 ","19,303 ","14,851 ","13,525 ","19,349 ","12,506 ","24,572 ","18,482 ","7,537 ","11,234 ","36,169 ","21,099 ","23,922 ","21,794 ","14,045 ","11,127 ","5,912 ","4,772 ","7,058 ","10,203 ","9,423 ","11,129 ","15,874 ","26,687 ","21,671 ","13,141 ","12,306 ","12,122 ","11,747 ","11,241 ","10,890 ","8,686 ","1,492 ","2,502 ","4,082 ","4,690 ","2,410 ","3,689 ","3,092 ","7,836 ","2,398 ","4,065 ","5,240 "
2022/11/10,"3,911 ","13,483 ","40,397 ","57,291 ","24,409 ","13,850 ","10,687 ","3,759 ","3,077 ","13,446 ","2,088 ","4,370 ","5,430 ","9,707 ","10,586 ","16,696 ","17,277 ","5,730 ","9,088 ","3,046 ","8,735 ","8,526 ","6,036 ","27,863 ","3,371 ","11,009 ","12,624 ","15,120 ","22,602 ","16,224 ","9,226 ","24,808 ","14,871 ","30,509 ","23,940 ","10,853 ","33,326 ","24,784 ","24,195 ","19,111 ","21,738 ","112,624 ","40,247 ","19,489 ","21,569 ","25,229 ","25,966 ","25,664 ","21,740 ","12,271 ","28,912 ","7,946 ","8,045 ","18,851 ","4,609 ","3,680 ","3,196 ","13,796 ","9,471 ","12,727 ","29,927 ","8,578 ","12,721 ","7,671 ","22,127 ","22,707 ","24,447 ","37,887 ","36,721 ","25,932 ","23,362 ","51,126 ","23,515 ","30,211 ","31,315 ","18,832 ","58,026 ","19,822 ","14,888 ","13,966 ","20,077 ","12,474 ","26,846 ","18,410 ","7,552 ","11,292 ","36,163 ","21,155 ","23,462 ","21,230 ","14,089 ","10,963 ","5,782 ","4,854 ","7,002 ","10,060 ","9,442 ","11,467 ","16,080 ","26,608 ","21,877 ","13,111 ","12,206 ","12,086 ","11,902 ","11,276 ","10,913 ","8,889 ","1,580 ","2,400 ","4,061 ","4,613 ","2,472 ","3,612 ","2,936 ","7,978 ","2,275 ","3,993 ","5,166 "
