"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022/2/1,"1,202 ","2,640 ","5,926 ","16,323 ","3,423 ","2,511 ","2,539 ","1,653 ",886 ,"2,690 ",609 ,"1,075 ","3,310 ","1,404 ","4,761 ","1,341 ","1,755 ","1,168 ","2,954 ","1,047 ","1,725 ","2,473 ",826 ,"5,357 ","1,820 ","5,239 ","3,976 ","4,937 ","5,746 ","4,601 ","3,114 ","6,084 ","3,435 ","6,281 ","3,571 ",980 ,"10,597 ","6,885 ","7,287 ","7,589 ","1,923 ","47,271 ","14,711 ","5,441 ","4,692 ","8,291 ","7,069 ","7,286 ","6,994 ","3,166 ","7,086 ","2,358 ","3,212 ","5,481 ","2,315 ","1,478 ","1,093 ","6,362 ","2,905 ","4,921 ","14,179 ","2,540 ","3,434 ","2,383 ","6,359 ","4,752 ","8,570 ","14,648 ","9,765 ","7,009 ","19,210 ","23,131 ","3,082 ","9,608 ","7,424 ","3,763 ","22,493 ","4,784 ","5,231 ","2,818 ","7,038 ","2,937 ","8,383 ","3,692 ","1,995 ","2,957 ","4,725 ","3,455 ","4,262 ","7,437 ","1,643 ","2,704 ","1,781 ",861 ,"2,039 ","2,841 ","3,513 ","3,713 ","4,064 ","13,116 ","4,642 ","3,456 ","3,805 ","3,654 ","3,497 ","4,034 ","2,755 ","2,452 ",387 ,925 ,"1,452 ","1,940 ",305 ,514 ,720 ,"4,072 ",593 ,"1,342 ","1,259 "
2022/2/2,"1,532 ","3,232 ","7,542 ","17,686 ","4,565 ","2,992 ","3,127 ","1,905 ","1,053 ","3,108 ",676 ,"1,258 ","3,694 ","1,838 ","5,377 ","1,773 ","2,368 ","1,660 ","3,609 ","1,641 ","2,102 ","3,723 ",973 ,"6,591 ","2,139 ","7,145 ","5,146 ","6,270 ","7,118 ","5,837 ","3,993 ","7,890 ","4,381 ","7,679 ","5,758 ","1,317 ","13,895 ","9,242 ","9,380 ","9,668 ","2,397 ","53,118 ","17,177 ","5,676 ","5,553 ","10,760 ","10,290 ","9,982 ","9,641 ","3,978 ","9,546 ","3,302 ","3,455 ","8,004 ","3,309 ","1,878 ","1,062 ","6,532 ","4,183 ","6,225 ","20,864 ","3,319 ","4,219 ","2,886 ","8,141 ","6,058 ","9,939 ","16,939 ","12,118 ","8,905 ","17,369 ","27,458 ","3,292 ","11,897 ","9,038 ","4,620 ","24,414 ","6,267 ","6,110 ","3,622 ","7,977 ","3,731 ","9,784 ","4,822 ","2,876 ","3,747 ","5,654 ","3,867 ","5,335 ","7,998 ","2,212 ","3,587 ","2,258 ","1,091 ","2,841 ","3,660 ","4,994 ","4,614 ","4,782 ","9,681 ","6,319 ","4,367 ","4,917 ","5,068 ","4,607 ","5,411 ","3,696 ","3,332 ",386 ,"1,489 ","1,823 ","2,683 ",527 ,772 ,992 ,"4,744 ",942 ,"1,949 ","1,694 "
2022/2/3,"1,181 ","3,154 ","8,013 ","18,500 ","4,475 ","2,995 ","3,009 ","1,722 ","1,084 ","3,035 ",657 ,"1,250 ","2,344 ","1,805 ","5,202 ","1,709 ","2,430 ","1,588 ","3,494 ","1,173 ","2,162 ","2,913 ","1,204 ","6,448 ","2,224 ","5,360 ","4,798 ","5,783 ","6,723 ","5,243 ","3,658 ","7,403 ","4,202 ","7,321 ","4,788 ",977 ,"12,750 ","8,308 ","8,406 ","8,332 ","2,983 ","49,800 ","18,116 ","5,775 ","5,314 ","8,224 ","7,882 ","8,586 ","8,340 ","3,394 ","8,449 ","2,637 ","2,696 ","6,226 ","3,049 ","1,297 ",665 ,"4,234 ","3,306 ","5,064 ","12,967 ","2,868 ","3,644 ","2,640 ","7,251 ","5,505 ","8,641 ","15,738 ","11,025 ","8,029 ","12,372 ","27,211 ","3,325 ","12,212 ","11,128 ","5,350 ","25,782 ","6,082 ","5,618 ","3,353 ","7,708 ","3,064 ","9,849 ","4,891 ","2,133 ","3,394 ","6,524 ","4,110 ","5,076 ","6,365 ","2,044 ","2,967 ","2,022 ",966 ,"2,405 ","3,041 ","4,340 ","4,151 ","4,929 ","7,487 ","6,135 ","4,091 ","4,050 ","4,534 ","4,140 ","4,397 ","3,085 ","2,873 ",404 ,"1,275 ","1,757 ","2,498 ",512 ,620 ,820 ,"4,044 ",829 ,"1,739 ","1,460 "
2022/2/4,"1,097 ","4,314 ","10,660 ","23,967 ","6,495 ","3,887 ","3,891 ","2,114 ","1,384 ","4,516 ",767 ,"1,645 ","2,969 ","2,489 ","6,691 ","2,380 ","3,269 ","2,190 ","4,524 ","1,622 ","2,897 ","4,643 ","1,453 ","8,217 ","2,608 ","6,883 ","5,931 ","7,152 ","8,494 ","6,934 ","4,775 ","10,234 ","6,166 ","10,281 ","6,846 ","1,531 ","16,356 ","11,236 ","11,189 ","10,753 ","5,939 ","56,028 ","25,611 ","9,245 ","7,473 ","11,692 ","11,756 ","12,206 ","11,217 ","5,115 ","11,863 ","3,584 ","3,529 ","8,798 ","3,891 ","1,949 ","1,396 ","6,529 ","4,666 ","6,644 ","18,401 ","3,529 ","4,660 ","3,276 ","9,499 ","7,824 ","12,377 ","18,670 ","14,865 ","11,033 ","17,231 ","36,458 ","4,406 ","17,295 ","15,872 ","7,336 ","30,862 ","7,780 ","7,506 ","4,459 ","8,872 ","4,170 ","11,894 ","6,900 ","3,286 ","4,821 ","8,521 ","5,722 ","7,226 ","9,553 ","3,070 ","4,320 ","2,790 ","1,333 ","3,869 ","4,177 ","6,015 ","5,571 ","6,457 ","10,792 ","8,789 ","5,625 ","5,737 ","5,970 ","5,311 ","5,953 ","4,010 ","3,955 ",473 ,"1,632 ","2,164 ","3,048 ",711 ,838 ,"1,206 ","4,515 ","1,082 ","2,202 ","1,856 "
2022/2/5,"1,290 ","5,127 ","12,355 ","26,886 ","7,662 ","4,740 ","4,685 ","2,508 ","1,599 ","4,964 ",946 ,"1,851 ","5,233 ","3,066 ","7,008 ","2,795 ","3,850 ","2,456 ","5,383 ","2,330 ","3,219 ","6,082 ","1,562 ","9,409 ","2,817 ","8,604 ","6,562 ","8,529 ","9,737 ","8,333 ","5,442 ","13,122 ","7,500 ","12,606 ","8,897 ","1,862 ","19,231 ","13,138 ","12,587 ","12,185 ","3,920 ","60,295 ","29,085 ","10,025 ","8,990 ","14,517 ","14,248 ","14,936 ","12,379 ","5,536 ","13,346 ","4,032 ","3,900 ","10,497 ","4,854 ","2,321 ","1,256 ","7,461 ","5,596 ","8,088 ","24,351 ","4,155 ","5,641 ","3,778 ","10,932 ","9,100 ","14,659 ","20,393 ","17,505 ","12,923 ","19,311 ","41,885 ","5,634 ","20,470 ","18,653 ","9,155 ","33,477 ","9,047 ","8,586 ","5,091 ","9,355 ","5,288 ","13,143 ","7,934 ","4,305 ","5,704 ","10,037 ","9,461 ","8,354 ","10,811 ","3,584 ","5,199 ","3,087 ","1,480 ","5,976 ","4,829 ","6,780 ","6,557 ","7,553 ","12,192 ","10,471 ","6,096 ","6,271 ","6,539 ","6,083 ","6,586 ","4,660 ","4,565 ",553 ,"1,779 ","2,312 ","3,404 ",768 ,901 ,"1,353 ","4,785 ","1,420 ","2,446 ","1,881 "
2022/2/6,"1,575 ","5,112 ","11,959 ","24,708 ","7,398 ","5,083 ","4,630 ","2,587 ","1,753 ","4,602 ",997 ,"1,829 ","4,914 ","3,605 ","6,857 ","3,211 ","4,140 ","2,529 ","5,192 ","2,643 ","3,267 ","6,432 ","1,484 ","9,898 ","2,729 ","9,200 ","6,706 ","8,217 ","9,808 ","8,828 ","5,763 ","14,341 ","8,397 ","13,061 ","9,756 ","2,012 ","19,276 ","12,799 ","12,231 ","11,404 ","3,893 ","61,600 ","27,744 ","8,733 ","9,951 ","15,280 ","13,886 ","14,641 ","12,397 ","5,111 ","13,276 ","4,003 ","3,518 ","10,782 ","4,337 ","2,239 ","1,187 ","7,088 ","5,527 ","7,419 ","24,564 ","4,015 ","5,595 ","3,650 ","10,652 ","8,400 ","13,870 ","19,849 ","17,338 ","12,894 ","18,190 ","38,817 ","6,067 ","19,191 ","16,497 ","9,449 ","30,678 ","9,760 ","8,610 ","5,526 ","9,308 ","5,807 ","12,118 ","7,494 ","5,184 ","6,240 ","9,928 ","9,377 ","8,527 ","9,965 ","3,658 ","4,886 ","3,043 ","1,500 ","5,801 ","4,636 ","6,309 ","6,557 ","7,614 ","12,375 ","11,561 ","6,038 ","5,951 ","6,169 ","6,044 ","6,300 ","4,601 ","4,388 ",578 ,"1,667 ","2,203 ","3,051 ",783 ,"1,016 ","1,260 ","4,651 ","1,364 ","2,345 ","1,938 "
2022/2/7,"2,776 ","11,189 ","34,665 ","31,752 ","17,383 ","10,310 ","8,940 ","3,338 ","2,682 ","10,108 ","1,697 ","3,061 ","3,783 ","6,011 ","8,754 ","13,236 ","13,329 ","3,797 ","7,845 ","2,752 ","6,355 ","7,645 ","4,836 ","20,839 ","2,822 ","9,454 ","10,974 ","12,973 ","19,006 ","12,206 ","8,300 ","19,279 ","12,793 ","25,217 ","17,967 ","5,881 ","29,475 ","21,569 ","21,620 ","16,548 ","20,260 ","87,615 ","33,063 ","17,471 ","17,148 ","19,430 ","16,277 ","18,963 ","18,162 ","9,600 ","24,106 ","5,714 ","6,528 ","14,063 ","3,822 ","3,010 ","2,828 ","9,726 ","7,775 ","10,109 ","23,516 ","7,368 ","9,735 ","6,462 ","18,129 ","18,098 ","21,009 ","29,863 ","29,901 ","21,663 ","20,518 ","45,528 ","13,889 ","24,690 ","26,256 ","15,895 ","45,786 ","15,341 ","12,861 ","11,722 ","14,493 ","10,140 ","20,722 ","15,965 ","5,777 ","9,193 ","30,400 ","18,218 ","19,637 ","19,236 ","6,693 ","8,652 ","4,744 ","4,270 ","6,006 ","8,180 ","8,431 ","9,048 ","13,679 ","23,752 ","16,673 ","10,728 ","9,802 ","10,405 ","9,902 ","9,909 ","7,887 ","7,459 ","1,015 ","2,363 ","3,513 ","4,134 ","2,100 ","3,134 ","2,486 ","6,027 ","1,907 ","3,288 ","4,036 "
2022/2/8,"2,754 ","11,484 ","36,132 ","32,784 ","18,030 ","10,616 ","9,184 ","3,249 ","2,850 ","10,368 ","1,727 ","3,107 ","3,939 ","6,197 ","8,979 ","13,835 ","13,819 ","3,840 ","7,814 ","2,712 ","6,430 ","7,213 ","5,093 ","21,780 ","2,642 ","9,271 ","10,928 ","13,115 ","19,139 ","12,772 ","8,320 ","19,382 ","13,181 ","26,231 ","18,792 ","6,076 ","29,532 ","21,830 ","21,517 ","16,595 ","20,422 ","87,076 ","34,932 ","17,586 ","17,858 ","20,017 ","16,799 ","19,536 ","18,865 ","9,598 ","24,424 ","5,724 ","6,430 ","14,697 ","3,798 ","3,155 ","2,984 ","9,469 ","7,822 ","9,976 ","21,913 ","7,420 ","10,014 ","6,569 ","18,351 ","18,959 ","21,728 ","29,973 ","30,640 ","22,190 ","20,721 ","46,240 ","15,404 ","26,097 ","27,695 ","16,856 ","46,930 ","15,871 ","13,023 ","12,118 ","14,521 ","10,321 ","21,216 ","16,062 ","5,939 ","9,371 ","31,605 ","19,175 ","19,891 ","19,914 ","7,040 ","8,830 ","4,883 ","4,357 ","6,358 ","8,284 ","8,523 ","9,208 ","13,466 ","24,071 ","17,557 ","11,019 ","9,931 ","10,555 ","9,815 ","9,952 ","8,197 ","7,756 ","1,066 ","2,243 ","3,488 ","4,217 ","2,163 ","3,229 ","2,611 ","6,337 ","1,982 ","3,323 ","4,315 "
2022/2/9,"2,868 ","11,571 ","35,856 ","33,767 ","18,064 ","10,769 ","9,101 ","3,323 ","2,826 ","10,430 ","1,742 ","3,081 ","3,954 ","6,133 ","8,960 ","13,778 ","13,990 ","3,942 ","7,832 ","2,564 ","6,492 ","7,161 ","5,239 ","21,821 ","2,637 ","9,514 ","11,129 ","12,850 ","19,586 ","12,497 ","8,171 ","20,575 ","13,748 ","26,843 ","18,871 ","6,230 ","29,621 ","21,505 ","21,638 ","16,476 ","20,405 ","90,429 ","35,708 ","17,677 ","17,717 ","19,712 ","16,716 ","19,277 ","19,034 ","9,613 ","24,896 ","5,801 ","6,527 ","14,671 ","3,660 ","3,077 ","2,924 ","9,619 ","7,776 ","9,995 ","21,859 ","7,547 ","9,964 ","6,496 ","18,327 ","19,081 ","21,463 ","30,384 ","30,538 ","21,987 ","19,939 ","46,660 ","15,860 ","26,441 ","28,012 ","17,261 ","47,503 ","15,887 ","13,530 ","11,833 ","14,922 ","9,347 ","21,172 ","16,755 ","5,733 ","9,592 ","31,757 ","19,774 ","20,191 ","19,685 ","6,840 ","8,785 ","4,821 ","4,365 ","5,887 ","8,216 ","8,701 ","9,268 ","13,697 ","23,887 ","17,726 ","11,148 ","10,006 ","10,619 ","10,201 ","9,911 ","7,897 ","7,742 ","1,098 ","2,181 ","3,523 ","4,222 ","2,144 ","3,268 ","2,514 ","6,211 ","2,014 ","3,384 ","4,086 "
2022/2/10,"2,868 ","11,727 ","36,769 ","34,492 ","18,572 ","10,821 ","9,257 ","3,351 ","2,927 ","10,350 ","1,804 ","3,106 ","4,175 ","6,526 ","9,387 ","14,107 ","14,009 ","3,973 ","7,845 ","2,716 ","6,731 ","7,232 ","5,028 ","22,262 ","2,729 ","9,438 ","11,373 ","13,017 ","19,625 ","12,789 ","8,402 ","19,550 ","13,530 ","26,960 ","19,324 ","6,609 ","30,092 ","21,901 ","21,595 ","16,787 ","20,929 ","93,985 ","37,149 ","18,171 ","17,891 ","20,341 ","17,712 ","20,204 ","19,439 ","9,857 ","24,833 ","5,818 ","6,735 ","15,124 ","3,775 ","3,096 ","3,029 ","9,664 ","8,047 ","10,271 ","22,642 ","7,638 ","10,053 ","6,627 ","18,667 ","18,922 ","21,999 ","31,121 ","31,078 ","22,305 ","20,546 ","47,509 ","16,052 ","26,590 ","28,901 ","17,663 ","49,032 ","16,501 ","13,140 ","12,621 ","15,290 ","9,354 ","29,522 ","16,772 ","6,165 ","9,846 ","32,292 ","21,275 ","20,506 ","19,944 ","7,052 ","8,841 ","4,930 ","4,452 ","6,299 ","8,429 ","8,758 ","9,798 ","13,747 ","24,307 ","18,246 ","11,178 ","10,085 ","10,885 ","10,062 ","10,098 ","8,045 ","7,784 ","1,081 ","2,229 ","3,472 ","4,197 ","2,244 ","3,224 ","2,455 ","6,304 ","2,040 ","3,302 ","4,265 "
