"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022/4/1,"4,898 ","12,942 ","40,672 ","40,655 ","24,431 ","12,723 ","10,542 ","4,015 ","3,140 ","12,833 ","1,935 ","4,261 ","4,554 ","7,234 ","10,960 ","15,066 ","16,745 ","4,472 ","8,957 ","2,974 ","8,209 ","8,456 ","5,884 ","27,409 ","3,313 ","10,588 ","12,481 ","15,039 ","21,959 ","14,615 ","9,375 ","24,313 ","15,363 ","29,281 ","23,374 ","8,059 ","32,753 ","24,319 ","23,893 ","17,909 ","21,182 ","150,610 ","42,886 ","19,561 ","21,085 ","25,710 ","22,151 ","23,785 ","22,387 ","12,265 ","28,755 ","6,491 ","7,807 ","18,305 ","4,532 ","3,600 ","3,039 ","13,148 ","9,239 ","11,728 ","28,041 ","9,067 ","13,221 ","7,787 ","22,120 ","22,777 ","24,524 ","40,106 ","36,586 ","25,210 ","22,892 ","54,634 ","22,201 ","31,184 ","32,906 ","20,071 ","60,854 ","19,798 ","15,317 ","13,587 ","25,454 ","12,343 ","25,470 ","19,128 ","7,165 ","11,077 ","36,307 ","25,989 ","23,510 ","22,142 ","12,961 ","10,998 ","5,908 ","4,784 ","6,443 ","10,012 ","9,640 ","11,127 ","15,779 ","27,042 ","21,253 ","13,224 ","12,347 ","12,511 ","11,589 ","11,442 ","10,366 ","8,892 ","1,389 ","2,575 ","4,003 ","4,792 ","2,473 ","3,559 ","3,070 ","10,610 ","2,562 ","4,177 ","4,964 "
2022/4/2,"2,780 ","6,038 ","16,639 ","30,967 ","11,030 ","6,631 ","5,485 ","3,846 ","1,727 ","5,841 ","1,016 ","2,042 ","3,742 ","4,004 ","7,562 ","3,479 ","4,766 ","2,627 ","5,832 ","1,976 ","3,923 ","4,534 ","1,695 ","14,510 ","2,741 ","7,164 ","7,180 ","9,011 ","11,169 ","9,022 ","6,090 ","14,739 ","9,009 ","16,801 ","14,536 ","2,432 ","20,407 ","13,494 ","13,277 ","10,632 ","5,804 ","115,937 ","34,205 ","11,684 ","10,390 ","16,494 ","13,124 ","15,268 ","13,567 ","6,263 ","14,811 ","4,255 ","3,970 ","10,691 ","3,952 ","2,037 ","1,140 ","5,288 ","5,640 ","8,421 ","16,401 ","4,237 ","6,729 ","4,404 ","11,648 ","10,370 ","16,080 ","28,365 ","19,916 ","14,607 ","15,664 ","45,509 ","11,059 ","21,136 ","22,095 ","11,514 ","40,909 ","11,169 ","9,475 ","6,705 ","18,000 ","4,763 ","16,435 ","9,380 ","5,593 ","6,233 ","13,684 ","14,586 ","10,278 ","9,774 ","4,970 ","6,726 ","3,223 ","1,674 ","3,903 ","5,484 ","6,981 ","7,252 ","9,109 ","11,739 ","13,415 ","7,484 ","6,638 ","7,488 ","6,723 ","7,305 ","5,098 ","4,986 ",598 ,"1,775 ","2,321 ","3,199 ",834 ,"1,063 ","1,507 ","8,048 ","1,404 ","2,504 ","2,055 "
2022/4/3,"2,147 ","5,074 ","13,000 ","21,213 ","8,048 ","5,921 ","4,602 ","3,299 ","1,614 ","4,358 ",866 ,"1,708 ","5,132 ","3,380 ","6,865 ","2,713 ","3,810 ","2,189 ","4,822 ","1,947 ","3,004 ","4,011 ","1,414 ","12,701 ","2,504 ","7,202 ","6,095 ","7,694 ","8,928 ","8,184 ","5,244 ","14,461 ","7,629 ","12,452 ","12,402 ","2,321 ","17,362 ","11,646 ","10,792 ","9,447 ","4,492 ","82,761 ","30,519 ","8,707 ","9,679 ","15,482 ","13,479 ","14,530 ","12,381 ","5,076 ","13,085 ","3,709 ","3,385 ","10,711 ","3,950 ","1,937 ",996 ,"5,187 ","5,269 ","7,927 ","19,191 ","3,755 ","5,555 ","3,886 ","10,247 ","8,258 ","13,722 ","22,090 ","16,674 ","12,237 ","14,762 ","42,171 ","9,087 ","18,698 ","17,738 ","9,882 ","34,819 ","9,236 ","7,832 ","5,023 ","11,610 ","4,986 ","14,486 ","7,707 ","6,092 ","5,502 ","10,470 ","10,845 ","8,091 ","9,226 ","3,515 ","4,803 ","2,838 ","1,316 ","3,638 ","4,574 ","6,188 ","6,123 ","7,527 ","9,965 ","11,505 ","6,110 ","5,735 ","6,433 ","5,494 ","6,053 ","4,491 ","4,394 ",572 ,"1,473 ","1,956 ","2,778 ",712 ,838 ,"1,162 ","5,533 ","1,213 ","2,163 ","1,946 "
2022/4/4,"1,891 ","5,198 ","13,479 ","23,517 ","8,825 ","5,814 ","5,099 ","4,069 ","1,793 ","5,299 ","1,285 ","2,614 ","12,222 ","3,606 ","7,083 ","3,398 ","3,942 ","2,534 ","5,635 ","3,555 ","3,553 ","4,279 ","1,567 ","13,401 ","2,763 ","9,779 ","6,831 ","8,303 ","9,501 ","8,920 ","5,562 ","16,032 ","7,492 ","13,049 ","11,437 ","2,407 ","19,149 ","13,089 ","12,038 ","10,191 ","4,701 ","77,104 ","29,467 ","9,474 ","9,806 ","17,016 ","18,917 ","17,049 ","12,688 ","5,590 ","15,759 ","4,313 ","3,783 ","12,151 ","4,584 ","2,150 ","1,939 ","6,716 ","6,073 ","10,333 ","30,151 ","4,244 ","6,416 ","4,459 ","11,205 ","10,487 ","14,896 ","22,168 ","18,486 ","13,586 ","15,738 ","42,396 ","7,814 ","18,188 ","17,205 ","9,359 ","33,878 ","9,145 ","8,910 ","5,389 ","11,445 ","7,241 ","14,926 ","8,190 ","6,070 ","6,268 ","10,744 ","7,788 ","8,393 ","9,812 ","3,915 ","6,824 ","3,345 ","1,571 ","4,911 ","4,915 ","6,504 ","6,895 ","7,655 ","10,534 ","11,707 ","7,138 ","6,282 ","6,569 ","5,995 ","6,550 ","5,118 ","4,591 ",745 ,"1,673 ","2,136 ","3,202 ",775 ,947 ,"1,308 ","5,218 ","1,359 ","2,529 ","2,100 "
2022/4/5,"1,971 ","5,305 ","12,814 ","20,435 ","8,553 ","5,865 ","5,024 ","3,981 ","1,948 ","5,938 ","1,074 ","2,157 ","7,631 ","4,214 ","5,906 ","3,862 ","4,240 ","2,907 ","5,562 ","3,235 ","3,455 ","4,243 ","1,425 ","9,363 ","2,397 ","8,856 ","6,760 ","8,196 ","10,119 ","8,866 ","5,982 ","17,204 ","8,302 ","13,703 ","11,398 ","2,512 ","19,078 ","13,177 ","12,077 ","10,261 ","4,615 ","68,531 ","26,110 ","8,774 ","9,320 ","15,965 ","15,578 ","14,977 ","12,178 ","5,607 ","15,427 ","4,249 ","3,642 ","11,546 ","3,560 ","2,048 ","1,065 ","6,086 ","5,707 ","8,669 ","25,032 ","4,186 ","5,585 ","4,085 ","10,680 ","8,686 ","12,937 ","19,791 ","17,492 ","13,071 ","14,181 ","34,299 ","7,422 ","15,611 ","15,041 ","8,556 ","28,736 ","9,486 ","8,573 ","5,861 ","9,815 ","6,411 ","11,886 ","8,067 ","5,958 ","5,662 ","9,851 ","11,224 ","8,639 ","8,952 ","3,802 ","4,523 ","2,784 ","1,369 ","4,236 ","4,498 ","5,756 ","5,885 ","7,526 ","9,783 ","11,655 ","6,381 ","5,630 ","6,022 ","5,559 ","6,396 ","4,519 ","4,306 ",782 ,"1,799 ","2,395 ","3,074 ",686 ,960 ,"1,194 ","4,929 ","1,329 ","2,401 ","2,121 "
2022/4/6,"3,558 ","11,962 ","37,076 ","30,290 ","22,635 ","12,559 ","9,832 ","3,530 ","3,000 ","13,125 ","1,885 ","4,378 ","4,490 ","9,020 ","8,913 ","15,432 ","15,661 ","5,196 ","8,284 ","2,909 ","7,054 ","7,828 ","5,290 ","23,632 ","2,663 ","9,774 ","11,713 ","13,772 ","20,488 ","13,371 ","8,650 ","23,385 ","14,368 ","27,693 ","20,787 ","7,703 ","30,693 ","22,111 ","22,076 ","16,669 ","22,179 ","93,424 ","33,427 ","18,082 ","19,011 ","22,778 ","19,162 ","21,916 ","20,062 ","11,707 ","28,530 ","6,106 ","7,583 ","16,898 ","3,874 ","3,242 ","2,329 ","9,408 ","8,783 ","11,366 ","24,931 ","8,316 ","11,154 ","7,157 ","20,053 ","20,996 ","21,854 ","31,747 ","32,060 ","23,926 ","20,800 ","43,290 ","17,539 ","25,385 ","27,065 ","17,027 ","49,782 ","18,061 ","13,886 ","12,748 ","15,447 ","11,280 ","21,025 ","16,813 ","6,750 ","10,036 ","33,428 ","23,954 ","21,798 ","19,729 ","7,311 ","9,794 ","5,102 ","4,474 ","6,075 ","9,301 ","8,469 ","10,395 ","14,643 ","24,053 ","18,525 ","12,173 ","11,214 ","11,286 ","10,740 ","10,509 ","9,026 ","8,106 ","1,444 ","2,321 ","3,719 ","4,458 ","2,366 ","3,331 ","2,722 ","6,755 ","2,013 ","3,543 ","4,695 "
2022/4/7,"3,407 ","11,927 ","37,018 ","29,942 ","22,696 ","12,095 ","9,787 ","3,544 ","3,012 ","11,154 ","1,901 ","4,133 ","4,552 ","9,021 ","8,579 ","15,648 ","15,388 ","5,175 ","8,250 ","2,822 ","6,879 ","7,787 ","5,312 ","23,754 ","2,740 ","9,904 ","11,231 ","13,703 ","20,134 ","12,918 ","8,369 ","21,312 ","14,059 ","27,246 ","20,533 ","7,692 ","30,072 ","21,820 ","21,850 ","16,442 ","21,274 ","89,821 ","32,998 ","17,866 ","19,786 ","23,104 ","20,798 ","20,941 ","19,665 ","11,571 ","26,990 ","6,102 ","7,224 ","17,010 ","3,813 ","3,227 ","3,086 ","10,048 ","8,745 ","10,974 ","23,639 ","8,173 ","10,892 ","6,822 ","19,959 ","20,289 ","21,497 ","31,121 ","31,731 ","23,320 ","19,874 ","40,390 ","17,205 ","26,757 ","26,793 ","16,696 ","48,587 ","17,979 ","13,546 ","13,108 ","15,334 ","11,092 ","20,492 ","16,695 ","6,704 ","9,879 ","33,098 ","19,815 ","21,557 ","19,420 ","7,160 ","9,891 ","5,077 ","4,484 ","5,888 ","9,188 ","8,332 ","10,153 ","14,436 ","24,002 ","18,447 ","11,981 ","11,181 ","11,037 ","10,653 ","10,356 ","9,113 ","8,057 ","1,373 ","2,175 ","3,708 ","4,315 ","2,315 ","3,342 ","2,586 ","6,555 ","2,001 ","3,557 ","4,489 "
2022/4/8,"3,606 ","12,349 ","39,008 ","34,222 ","23,408 ","12,608 ","9,961 ","3,506 ","3,073 ","11,439 ","1,855 ","4,190 ","4,256 ","8,739 ","9,706 ","15,249 ","15,646 ","5,373 ","8,576 ","2,953 ","7,095 ","8,051 ","5,333 ","24,106 ","2,705 ","10,324 ","11,825 ","14,099 ","21,165 ","14,094 ","8,840 ","22,913 ","14,760 ","27,484 ","21,437 ","7,948 ","30,895 ","22,968 ","22,496 ","16,763 ","21,561 ","109,109 ","38,661 ","18,975 ","20,374 ","24,390 ","22,000 ","22,374 ","21,551 ","11,605 ","27,401 ","6,167 ","7,539 ","17,537 ","4,055 ","3,394 ","3,003 ","9,508 ","8,696 ","11,538 ","25,659 ","8,451 ","11,844 ","7,181 ","20,447 ","20,679 ","23,097 ","33,984 ","32,750 ","24,232 ","21,246 ","48,670 ","18,690 ","28,808 ","30,052 ","18,599 ","54,569 ","18,923 ","14,103 ","14,428 ","17,613 ","11,716 ","24,848 ","18,332 ","7,318 ","10,493 ","34,425 ","24,263 ","22,462 ","21,100 ","7,512 ","10,754 ","5,407 ","4,481 ","6,223 ","9,470 ","8,775 ","10,484 ","15,324 ","25,094 ","20,007 ","12,260 ","11,572 ","11,682 ","10,877 ","10,639 ","9,224 ","8,223 ","1,384 ","2,306 ","3,663 ","4,482 ","2,379 ","3,423 ","2,797 ","7,603 ","2,233 ","3,881 ","4,743 "
2022/4/9,"1,959 ","6,792 ","18,921 ","29,375 ","12,697 ","7,697 ","5,918 ","2,989 ","2,060 ","6,395 ","1,214 ","2,453 ","5,188 ","5,586 ","8,179 ","4,337 ","5,470 ","2,976 ","6,319 ","3,217 ","4,220 ","4,709 ","1,761 ","12,652 ","2,697 ","9,915 ","7,883 ","9,702 ","12,894 ","10,961 ","6,475 ","19,562 ","10,653 ","19,737 ","14,381 ","3,151 ","22,094 ","15,966 ","14,460 ","12,074 ","7,483 ","89,661 ","35,942 ","13,479 ","12,290 ","20,683 ","20,216 ","18,782 ","16,442 ","7,122 ","18,240 ","4,931 ","5,068 ","13,096 ","3,981 ","2,533 ","1,426 ","7,214 ","6,714 ","9,137 ","25,153 ","4,592 ","7,488 ","4,621 ","12,886 ","12,004 ","17,760 ","24,694 ","22,069 ","16,286 ","17,680 ","45,487 ","10,922 ","21,080 ","23,422 ","12,634 ","38,895 ","12,211 ","10,567 ","8,943 ","12,314 ","7,633 ","20,173 ","10,527 ","8,984 ","7,751 ","13,837 ","14,220 ","11,089 ","11,760 ","5,279 ","7,423 ","3,755 ","1,882 ","5,069 ","5,893 ","7,045 ","8,015 ","9,854 ","13,613 ","15,445 ","7,892 ","7,321 ","7,601 ","7,040 ","7,664 ","5,701 ","5,557 ",889 ,"1,719 ","2,265 ","3,128 ",966 ,"1,229 ","1,607 ","5,691 ","1,529 ","2,684 ","2,422 "
2022/4/10,"1,950 ","5,505 ","14,082 ","21,396 ","10,032 ","6,361 ","4,896 ","2,763 ","1,797 ","5,208 ","1,050 ","2,960 ","4,916 ","4,488 ","7,206 ","3,659 ","5,703 ","2,808 ","5,415 ","3,319 ","3,919 ","4,187 ","1,641 ","10,199 ","2,271 ","9,598 ","6,842 ","8,447 ","10,877 ","9,393 ","5,775 ","18,402 ","9,271 ","14,970 ","13,004 ","2,813 ","18,555 ","12,850 ","12,309 ","10,243 ","5,693 ","81,923 ","28,722 ","8,861 ","11,270 ","18,432 ","17,655 ","15,986 ","13,536 ","5,498 ","15,148 ","4,119 ","4,842 ","11,730 ","3,254 ","2,059 ","1,153 ","6,257 ","5,747 ","8,800 ","25,741 ","4,216 ","6,214 ","3,832 ","11,121 ","8,871 ","14,487 ","21,260 ","18,276 ","13,559 ","14,706 ","37,652 ","8,353 ","16,179 ","15,906 ","10,155 ","31,771 ","11,007 ","8,576 ","6,797 ","10,014 ","6,606 ","18,742 ","7,880 ","8,024 ","6,423 ","10,221 ","11,115 ","8,683 ","9,411 ","4,900 ","6,364 ","3,019 ","1,603 ","4,400 ","4,788 ","5,552 ","6,632 ","7,781 ","10,506 ","12,816 ","6,622 ","5,708 ","6,318 ","5,705 ","6,335 ","4,799 ","4,502 ",782 ,"1,583 ","2,147 ","2,799 ",754 ,"1,054 ","1,334 ","5,050 ","1,289 ","2,162 ","2,158 "
