"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022/3/1,"3,339 ","13,019 ","38,256 ","32,767 ","23,415 ","13,121 ","10,217 ","3,638 ","3,166 ","13,289 ","2,082 ","4,467 ","5,510 ","9,469 ","9,597 ","16,719 ","16,554 ","5,415 ","8,849 ","3,037 ","8,232 ","8,462 ","5,615 ","24,913 ","2,980 ","10,614 ","12,375 ","14,768 ","22,046 ","16,027 ","8,911 ","24,563 ","14,625 ","29,354 ","24,153 ","9,448 ","32,990 ","24,290 ","24,148 ","18,950 ","21,811 ","96,442 ","33,689 ","18,611 ","21,047 ","24,883 ","25,346 ","28,136 ","20,875 ","12,346 ","29,148 ","6,500 ","7,728 ","18,346 ","3,826 ","3,413 ","3,229 ","12,870 ","9,322 ","12,277 ","30,667 ","8,606 ","12,050 ","7,302 ","21,498 ","22,603 ","23,235 ","33,294 ","35,790 ","24,543 ","21,977 ","44,969 ","20,901 ","27,648 ","27,502 ","17,190 ","50,344 ","18,723 ","14,127 ","13,259 ","17,437 ","12,032 ","21,829 ","17,290 ","8,483 ","10,090 ","34,320 ","20,639 ","22,445 ","20,879 ","14,641 ","10,895 ","5,580 ","4,656 ","6,574 ","9,917 ","8,942 ","10,986 ","15,335 ","25,427 ","19,697 ","12,871 ","11,903 ","12,179 ","11,622 ","11,432 ","10,728 ","8,850 ","1,486 ","2,408 ","3,927 ","4,544 ","2,390 ","3,515 ","2,909 ","7,403 ","2,308 ","3,838 ","4,604 "
2022/3/2,"3,260 ","13,270 ","38,806 ","33,221 ","23,322 ","13,185 ","10,390 ","3,566 ","3,207 ","13,187 ","2,011 ","4,324 ","4,636 ","9,315 ","9,468 ","17,071 ","16,878 ","5,403 ","8,819 ","3,001 ","8,327 ","8,453 ","5,797 ","25,173 ","2,980 ","10,702 ","12,423 ","14,694 ","22,132 ","15,943 ","8,994 ","23,533 ","15,011 ","29,176 ","23,943 ","9,262 ","32,889 ","24,214 ","24,104 ","19,080 ","22,023 ","94,605 ","35,466 ","18,831 ","21,146 ","24,300 ","24,106 ","26,243 ","21,471 ","12,112 ","28,924 ","6,365 ","7,730 ","18,065 ","3,752 ","3,386 ","3,269 ","12,744 ","9,084 ","11,644 ","28,547 ","8,604 ","12,118 ","7,474 ","21,503 ","22,173 ","23,494 ","33,369 ","35,736 ","24,691 ","22,001 ","46,397 ","21,922 ","28,647 ","27,858 ","18,233 ","51,207 ","18,787 ","14,456 ","13,392 ","17,735 ","12,214 ","21,925 ","17,649 ","7,927 ","10,389 ","35,136 ","21,473 ","23,214 ","20,791 ","14,185 ","10,735 ","5,634 ","4,736 ","6,579 ","10,063 ","9,238 ","11,141 ","15,606 ","25,794 ","20,112 ","12,957 ","11,856 ","12,115 ","11,630 ","11,382 ","10,789 ","8,839 ","1,465 ","2,419 ","3,907 ","4,606 ","2,428 ","3,637 ","2,951 ","7,090 ","2,347 ","3,851 ","4,705 "
2022/3/3,"3,142 ","12,895 ","39,704 ","34,098 ","23,436 ","13,120 ","10,334 ","3,645 ","3,191 ","13,080 ","1,961 ","4,483 ","4,985 ","9,555 ","10,003 ","16,943 ","16,754 ","5,422 ","8,959 ","3,215 ","8,336 ","8,613 ","5,606 ","25,573 ","3,025 ","10,731 ","12,377 ","14,775 ","21,860 ","16,017 ","9,060 ","24,128 ","14,875 ","29,343 ","24,134 ","9,250 ","33,230 ","24,330 ","24,044 ","19,385 ","21,207 ","99,017 ","35,990 ","18,605 ","21,346 ","24,616 ","24,612 ","26,538 ","21,077 ","11,805 ","28,965 ","6,543 ","7,818 ","18,503 ","4,138 ","3,538 ","3,154 ","12,826 ","9,249 ","12,046 ","29,271 ","8,674 ","12,084 ","7,358 ","21,583 ","22,280 ","23,349 ","33,867 ","35,617 ","24,673 ","22,825 ","46,889 ","21,646 ","28,978 ","28,862 ","17,914 ","52,259 ","19,078 ","14,463 ","13,966 ","17,962 ","12,150 ","22,654 ","17,918 ","8,573 ","10,237 ","35,523 ","21,384 ","22,952 ","21,131 ","14,458 ","10,865 ","5,808 ","4,730 ","6,497 ","9,909 ","9,090 ","11,045 ","15,658 ","26,520 ","20,193 ","13,065 ","12,134 ","12,108 ","11,622 ","11,349 ","11,045 ","8,936 ","1,405 ","2,460 ","3,866 ","4,610 ","2,424 ","3,588 ","2,937 ","7,278 ","2,385 ","3,865 ","4,652 "
2022/3/4,"3,450 ","13,630 ","41,437 ","39,981 ","24,841 ","13,967 ","10,887 ","3,752 ","3,381 ","13,193 ","2,021 ","4,560 ","5,657 ","9,481 ","11,769 ","16,817 ","16,999 ","5,678 ","9,618 ","3,331 ","8,632 ","8,854 ","5,919 ","26,031 ","3,286 ","11,559 ","12,799 ","15,589 ","23,277 ","16,785 ","9,614 ","26,831 ","16,335 ","31,051 ","26,016 ","9,645 ","34,875 ","25,446 ","24,971 ","19,983 ","22,127 ","128,936 ","43,434 ","20,302 ","22,551 ","28,541 ","26,300 ","27,843 ","23,157 ","12,413 ","30,119 ","6,860 ","8,316 ","19,739 ","4,406 ","3,764 ","3,213 ","12,448 ","9,698 ","12,500 ","31,402 ","9,174 ","13,546 ","7,899 ","22,207 ","22,736 ","25,746 ","38,540 ","37,259 ","25,876 ","24,087 ","57,505 ","22,257 ","32,092 ","33,440 ","20,874 ","61,276 ","20,138 ","15,197 ","14,165 ","20,748 ","13,141 ","24,995 ","19,317 ","9,202 ","11,378 ","37,423 ","22,567 ","24,340 ","22,932 ","14,389 ","11,831 ","6,185 ","4,830 ","6,990 ","10,210 ","9,883 ","11,966 ","16,924 ","27,016 ","22,186 ","13,453 ","12,593 ","12,718 ","12,082 ","11,760 ","11,122 ","9,341 ","1,493 ","2,603 ","3,997 ","4,937 ","2,543 ","3,650 ","3,118 ","9,132 ","2,607 ","4,317 ","4,927 "
2022/3/5,"1,909 ","7,996 ","21,321 ","37,493 ","14,443 ","9,392 ","7,123 ","3,312 ","2,446 ","7,592 ","1,492 ","3,070 ","8,651 ","6,127 ","10,278 ","4,828 ","6,169 ","3,476 ","7,825 ","3,542 ","4,927 ","6,030 ","2,153 ","14,303 ","3,264 ","12,287 ","9,190 ","11,676 ","15,161 ","13,167 ","7,717 ","29,148 ","13,882 ","23,308 ","20,814 ","3,836 ","26,739 ","18,568 ","17,571 ","15,072 ","9,026 ","115,914 ","44,436 ","16,142 ","14,718 ","35,239 ","24,941 ","24,737 ","18,210 ","8,081 ","21,131 ","5,786 ","5,192 ","15,768 ","5,404 ","2,766 ","1,678 ","8,056 ","7,524 ","10,645 ","30,630 ","5,428 ","9,356 ","5,703 ","15,460 ","13,816 ","22,150 ","32,792 ","26,305 ","19,337 ","21,230 ","62,172 ","13,942 ","27,607 ","28,282 ","16,831 ","47,900 ","13,316 ","12,749 ","8,426 ","14,523 ","8,918 ","22,033 ","12,288 ","13,088 ","9,151 ","17,152 ","15,421 ","12,693 ","14,570 ","7,864 ","8,790 ","4,604 ","2,159 ","6,270 ","6,826 ","8,536 ","9,550 ","11,453 ","16,483 ","18,517 ","10,007 ","9,049 ","9,345 ","8,527 ","8,846 ","7,149 ","6,658 ",932 ,"2,053 ","2,665 ","3,960 ","1,226 ","1,443 ","1,838 ","7,344 ","1,841 ","3,361 ","2,866 "
2022/3/6,"1,759 ","6,159 ","15,161 ","26,960 ","10,513 ","7,207 ","5,778 ","3,088 ","1,969 ","6,117 ","1,191 ","2,316 ","6,237 ","5,063 ","8,735 ","3,883 ","5,044 ","3,073 ","6,122 ","2,696 ","4,173 ","4,953 ","1,850 ","11,257 ","3,065 ","9,869 ","7,619 ","9,558 ","12,386 ","10,787 ","6,588 ","21,859 ","11,341 ","17,531 ","17,121 ","3,077 ","21,817 ","15,078 ","14,306 ","12,562 ","6,239 ","97,896 ","34,682 ","10,286 ","12,643 ","25,361 ","18,833 ","19,822 ","14,806 ","6,360 ","17,066 ","4,845 ","4,106 ","13,651 ","4,390 ","2,473 ","1,366 ","6,957 ","6,238 ","8,885 ","27,599 ","4,700 ","7,332 ","4,504 ","12,581 ","10,124 ","16,882 ","26,480 ","21,061 ","15,251 ","17,657 ","47,731 ","10,565 ","21,350 ","19,136 ","12,680 ","37,200 ","11,241 ","9,835 ","6,404 ","11,495 ","6,570 ","17,471 ","8,990 ","10,587 ","7,078 ","12,194 ","9,468 ","10,360 ","11,005 ","6,776 ","6,542 ","3,814 ","1,747 ","5,226 ","5,378 ","6,623 ","7,296 ","9,131 ","12,603 ","15,011 ","7,481 ","6,860 ","7,287 ","6,645 ","7,134 ","5,776 ","5,300 ",801 ,"1,831 ","2,387 ","3,496 ",982 ,"1,225 ","1,519 ","6,301 ","1,525 ","2,687 ","2,666 "
2022/3/7,"3,406 ","13,229 ","39,940 ","32,658 ","23,585 ","13,490 ","10,789 ","3,824 ","3,138 ","13,558 ","1,897 ","4,359 ","3,512 ","9,466 ","9,721 ","17,412 ","17,373 ","5,495 ","8,892 ","2,886 ","8,347 ","8,305 ","6,135 ","24,655 ","3,135 ","9,750 ","12,450 ","14,909 ","22,447 ","15,698 ","9,174 ","23,751 ","14,556 ","29,575 ","22,181 ","9,440 ","33,623 ","24,162 ","24,581 ","18,866 ","22,917 ","97,323 ","33,745 ","18,814 ","20,963 ","22,728 ","22,584 ","23,708 ","20,040 ","12,012 ","29,129 ","6,397 ","7,516 ","17,306 ","4,044 ","3,475 ","3,241 ","13,298 ","8,849 ","11,217 ","26,358 ","8,509 ","11,672 ","7,208 ","21,424 ","22,352 ","22,735 ","35,228 ","36,055 ","24,435 ","21,045 ","44,940 ","21,465 ","28,839 ","28,206 ","17,261 ","52,551 ","18,914 ","14,679 ","13,552 ","17,995 ","11,497 ","22,219 ","18,038 ","6,468 ","10,140 ","36,039 ","21,974 ","23,569 ","20,878 ","14,501 ","10,357 ","5,495 ","4,939 ","6,475 ","10,446 ","9,343 ","11,008 ","15,558 ","25,990 ","19,343 ","13,093 ","11,920 ","12,361 ","12,168 ","11,638 ","10,781 ","8,762 ","1,412 ","2,658 ","4,143 ","4,947 ","2,573 ","3,810 ","3,190 ","7,643 ","2,436 ","4,062 ","5,009 "
2022/3/8,"3,259 ","13,533 ","40,445 ","34,857 ","24,112 ","13,525 ","10,538 ","3,647 ","3,259 ","13,549 ","1,999 ","4,461 ","5,173 ","9,578 ","10,196 ","17,577 ","17,414 ","5,544 ","9,039 ","3,184 ","8,290 ","8,614 ","5,765 ","26,833 ","3,058 ","11,146 ","12,694 ","15,141 ","22,729 ","16,431 ","9,196 ","24,056 ","15,052 ","30,216 ","24,599 ","9,558 ","33,902 ","24,797 ","24,646 ","19,393 ","22,333 ","98,155 ","36,696 ","19,132 ","21,735 ","27,519 ","25,172 ","26,691 ","22,240 ","12,732 ","29,674 ","6,499 ","7,876 ","19,032 ","4,495 ","3,666 ","3,303 ","14,077 ","9,555 ","12,249 ","30,061 ","8,805 ","12,354 ","7,581 ","22,105 ","23,055 ","24,274 ","35,066 ","36,662 ","25,246 ","23,069 ","47,859 ","22,030 ","29,035 ","29,552 ","18,223 ","53,730 ","19,618 ","14,824 ","13,625 ","18,297 ","12,336 ","22,379 ","18,157 ","8,538 ","10,768 ","35,666 ","22,171 ","23,374 ","21,738 ","14,324 ","10,988 ","5,765 ","4,791 ","6,620 ","10,125 ","9,363 ","11,239 ","16,349 ","26,306 ","20,760 ","13,221 ","12,295 ","12,349 ","11,896 ","11,393 ","11,185 ","9,145 ","1,499 ","2,507 ","3,935 ","4,792 ","2,584 ","3,635 ","3,111 ","7,459 ","2,445 ","4,037 ","4,863 "
2022/3/9,"3,357 ","13,553 ","40,524 ","35,194 ","24,248 ","13,586 ","10,819 ","3,843 ","3,396 ","13,865 ","2,079 ","4,493 ","5,503 ","9,642 ","10,070 ","17,405 ","17,740 ","5,523 ","9,256 ","3,423 ","8,633 ","8,655 ","6,023 ","29,521 ","3,165 ","11,324 ","12,785 ","15,258 ","22,576 ","16,478 ","9,249 ","24,815 ","15,010 ","30,407 ","24,829 ","9,647 ","33,945 ","24,927 ","24,726 ","19,712 ","22,231 ","100,469 ","37,965 ","19,704 ","21,722 ","27,615 ","25,553 ","26,787 ","22,209 ","12,361 ","30,278 ","6,605 ","8,100 ","19,189 ","4,362 ","3,609 ","3,329 ","14,071 ","9,584 ","12,405 ","31,148 ","8,778 ","12,515 ","7,743 ","21,926 ","22,932 ","24,565 ","35,388 ","36,855 ","25,546 ","23,123 ","49,751 ","22,825 ","29,503 ","30,111 ","18,742 ","54,099 ","19,588 ","14,799 ","13,594 ","19,132 ","12,576 ","23,213 ","18,420 ","9,023 ","10,835 ","36,178 ","22,326 ","23,790 ","21,620 ","14,180 ","11,003 ","5,792 ","4,799 ","6,789 ","10,171 ","9,376 ","11,294 ","16,211 ","26,517 ","21,235 ","13,231 ","12,254 ","12,407 ","11,851 ","11,494 ","11,047 ","8,853 ","1,483 ","2,496 ","3,930 ","4,688 ","2,517 ","3,667 ","3,023 ","7,419 ","2,461 ","3,982 ","4,930 "
2022/3/10,"3,350 ","13,615 ","40,818 ","36,535 ","24,377 ","13,496 ","10,627 ","3,830 ","3,390 ","13,315 ","2,017 ","4,505 ","5,540 ","9,565 ","10,380 ","17,410 ","17,383 ","5,651 ","9,073 ","3,455 ","8,409 ","8,460 ","5,806 ","30,266 ","3,236 ","11,220 ","12,723 ","15,229 ","22,513 ","16,413 ","9,187 ","24,567 ","15,087 ","30,326 ","24,615 ","9,467 ","33,925 ","24,938 ","24,559 ","19,628 ","22,297 ","105,732 ","38,571 ","19,222 ","22,202 ","27,859 ","26,230 ","26,870 ","22,059 ","12,380 ","29,494 ","6,637 ","7,864 ","19,270 ","4,516 ","3,599 ","3,250 ","13,771 ","9,451 ","12,501 ","30,401 ","9,012 ","12,695 ","7,590 ","22,132 ","22,890 ","24,341 ","35,536 ","36,667 ","25,419 ","23,308 ","49,842 ","22,525 ","30,268 ","30,717 ","18,551 ","54,644 ","18,766 ","14,663 ","14,292 ","19,815 ","12,521 ","23,235 ","18,312 ","8,904 ","10,794 ","35,900 ","22,383 ","24,032 ","21,696 ","14,405 ","11,003 ","5,840 ","4,807 ","6,642 ","10,267 ","9,336 ","11,283 ","16,328 ","26,810 ","20,786 ","13,250 ","12,251 ","12,328 ","11,909 ","11,498 ","11,081 ","8,945 ","1,471 ","2,462 ","3,916 ","4,870 ","2,579 ","3,619 ","3,032 ","7,654 ","2,442 ","3,989 ","4,803 "
