"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022/7/1,"3,732 ","11,027 ","34,190 ","35,064 ","17,461 ","10,024 ","8,753 ","3,188 ","2,552 ","9,026 ","1,579 ","2,907 ","4,589 ","5,909 ","10,229 ","12,137 ","12,439 ","3,736 ","7,519 ","2,575 ","6,142 ","6,207 ","4,728 ","20,902 ","2,955 ","9,113 ","10,362 ","12,147 ","18,609 ","12,437 ","7,997 ","20,643 ","12,865 ","24,211 ","18,869 ","6,536 ","27,475 ","20,799 ","20,257 ","15,588 ","18,416 ","111,961 ","39,573 ","17,198 ","17,218 ","20,380 ","18,636 ","20,026 ","18,652 ","9,107 ","22,677 ","5,534 ","6,652 ","13,986 ","3,146 ","3,046 ","2,591 ","10,184 ","7,759 ","10,667 ","24,817 ","6,975 ","10,577 ","6,342 ","17,727 ","17,682 ","21,047 ","33,332 ","29,634 ","21,574 ","19,558 ","51,188 ","17,573 ","25,908 ","29,971 ","17,176 ","54,308 ","15,417 ","12,880 ","11,602 ","17,136 ","10,170 ","27,738 ","16,692 ","6,307 ","9,993 ","30,955 ","17,758 ","19,324 ","18,551 ","6,717 ","8,424 ","4,866 ","3,987 ","5,730 ","7,706 ","8,213 ","8,955 ","13,170 ","22,392 ","18,350 ","10,621 ","9,468 ","10,123 ","9,405 ","9,307 ","7,778 ","6,987 ","1,074 ","2,132 ","3,372 ","4,126 ","2,299 ","3,101 ","2,414 ","7,502 ","1,907 ","3,293 ","4,295 "
2022/7/2,"2,038 ","6,181 ","16,306 ","30,309 ","10,352 ","6,359 ","5,358 ","2,526 ","1,826 ","5,278 ","1,057 ","2,086 ","3,400 ","4,702 ","7,884 ","3,535 ","5,169 ","2,743 ","5,782 ","2,152 ","3,779 ","4,231 ","1,603 ","11,134 ","3,037 ","7,688 ","6,935 ","8,477 ","11,711 ","9,824 ","6,135 ","17,480 ","9,357 ","16,814 ","11,712 ","2,824 ","20,123 ","14,116 ","13,292 ","11,346 ","6,553 ","89,173 ","34,931 ","12,140 ","10,616 ","17,444 ","16,973 ","16,408 ","13,067 ","6,340 ","14,616 ","4,258 ","3,782 ","10,752 ","3,169 ","2,148 ","1,164 ","5,817 ","5,550 ","7,718 ","20,068 ","4,402 ","6,821 ","4,267 ","11,886 ","10,653 ","16,280 ","24,721 ","19,916 ","14,688 ","16,515 ","45,657 ","9,058 ","21,310 ","22,639 ","12,953 ","41,090 ","11,017 ","9,592 ","6,305 ","12,605 ","5,659 ","24,053 ","9,314 ","6,699 ","6,702 ","13,198 ","8,864 ","9,941 ","10,695 ","4,430 ","5,580 ","3,633 ","1,639 ","4,322 ","5,440 ","6,699 ","7,027 ","9,103 ","12,885 ","13,834 ","7,111 ","6,446 ","6,908 ","6,667 ","6,927 ","5,078 ","4,863 ",686 ,"1,656 ","2,193 ","3,145 ","1,001 ","1,115 ","1,486 ","5,641 ","1,383 ","2,455 ","2,104 "
2022/7/3,"1,917 ","5,055 ","12,417 ","23,039 ","7,893 ","6,732 ","4,370 ","2,352 ","1,511 ","4,502 ",991 ,"1,782 ","3,849 ","3,698 ","6,995 ","2,896 ","4,055 ","2,286 ","4,852 ","2,067 ","3,096 ","3,796 ","1,446 ","9,265 ","2,658 ","7,487 ","6,177 ","7,595 ","9,670 ","9,602 ","5,648 ","16,858 ","8,367 ","13,707 ","9,511 ","2,713 ","18,178 ","12,401 ","11,304 ","10,146 ","4,787 ","79,738 ","29,077 ","8,788 ","9,905 ","16,458 ","15,083 ","14,374 ","11,643 ","5,267 ","12,365 ","3,898 ","3,130 ","9,619 ","2,748 ","1,915 ","1,069 ","5,256 ","5,088 ","7,250 ","21,206 ","4,020 ","5,593 ","3,670 ","10,373 ","8,385 ","13,570 ","21,761 ","17,916 ","12,963 ","14,386 ","39,244 ","7,356 ","19,273 ","16,638 ","10,333 ","34,298 ","9,500 ","8,262 ","6,501 ","10,839 ","5,298 ","20,069 ","7,662 ","6,167 ","5,619 ","9,825 ","7,214 ","8,207 ","8,700 ","3,927 ","4,816 ","3,196 ","1,457 ","4,166 ","4,407 ","5,749 ","6,140 ","7,435 ","10,187 ","12,849 ","5,930 ","5,606 ","6,070 ","5,487 ","6,264 ","4,335 ","4,104 ",634 ,"1,489 ","2,352 ","2,896 ",733 ,954 ,"1,203 ","5,130 ","1,257 ","2,145 ","2,107 "
2022/7/4,"3,196 ","10,430 ","32,730 ","29,077 ","17,099 ","9,864 ","8,459 ","3,167 ","2,511 ","9,899 ","1,584 ","3,023 ","3,211 ","5,750 ","8,499 ","12,836 ","13,323 ","3,616 ","7,151 ","2,507 ","6,031 ","6,131 ","4,999 ","20,902 ","2,885 ","8,613 ","10,391 ","11,904 ","18,184 ","11,601 ","7,631 ","17,847 ","11,651 ","23,736 ","16,285 ","6,640 ","26,893 ","19,921 ","19,969 ","15,173 ","18,591 ","90,429 ","30,746 ","15,854 ","16,622 ","18,243 ","15,758 ","17,826 ","16,849 ","9,482 ","22,553 ","5,287 ","6,362 ","12,892 ","2,742 ","2,797 ","2,548 ","9,798 ","7,289 ","9,861 ","21,306 ","6,966 ","9,766 ","6,319 ","17,611 ","18,155 ","19,412 ","30,292 ","28,695 ","20,925 ","18,335 ","41,627 ","14,883 ","23,356 ","24,828 ","15,198 ","47,049 ","14,421 ","12,255 ","11,509 ","14,641 ","9,821 ","24,951 ","15,317 ","5,347 ","8,715 ","29,891 ","17,351 ","18,549 ","17,599 ","6,883 ","7,883 ","4,585 ","3,849 ","5,283 ","7,736 ","7,697 ","8,303 ","12,589 ","21,522 ","15,862 ","10,706 ","9,450 ","9,928 ","9,255 ","9,406 ","7,691 ","6,803 ","1,089 ","1,986 ","3,376 ","3,981 ","2,175 ","3,197 ","2,383 ","6,350 ","1,829 ","3,153 ","4,184 "
2022/7/5,"3,089 ","11,003 ","34,327 ","31,092 ","17,977 ","10,350 ","8,511 ","3,167 ","2,766 ","9,865 ","1,694 ","3,014 ","3,480 ","5,940 ","8,778 ","13,196 ","13,814 ","4,063 ","7,550 ","2,454 ","6,163 ","6,244 ","5,187 ","21,546 ","2,690 ","8,429 ","10,519 ","12,378 ","18,651 ","12,084 ","7,974 ","18,386 ","12,361 ","24,824 ","17,765 ","6,960 ","27,270 ","20,502 ","19,839 ","15,508 ","19,436 ","91,809 ","33,047 ","16,605 ","17,066 ","19,039 ","16,797 ","19,083 ","17,590 ","9,378 ","22,966 ","5,558 ","6,613 ","13,823 ","3,065 ","2,974 ","2,698 ","10,002 ","7,648 ","10,097 ","21,032 ","7,059 ","9,940 ","6,381 ","18,306 ","18,935 ","20,006 ","30,835 ","29,489 ","21,507 ","18,414 ","43,517 ","15,533 ","23,924 ","26,108 ","16,132 ","48,094 ","15,295 ","12,505 ","11,710 ","15,016 ","9,958 ","20,316 ","15,830 ","5,773 ","9,202 ","30,949 ","17,953 ","19,454 ","18,181 ","6,923 ","8,664 ","4,601 ","4,123 ","5,464 ","7,932 ","8,078 ","8,582 ","13,089 ","22,076 ","17,070 ","10,631 ","9,321 ","9,974 ","9,302 ","9,520 ","7,748 ","6,879 ","1,129 ","2,057 ","3,436 ","3,817 ","2,289 ","3,288 ","2,358 ","6,542 ","1,893 ","3,174 ","4,241 "
2022/7/6,"3,345 ","11,215 ","34,691 ","31,871 ","18,674 ","10,422 ","8,771 ","3,200 ","2,688 ","10,074 ","1,686 ","2,993 ","3,677 ","6,068 ","9,501 ","13,384 ","14,003 ","3,845 ","7,563 ","2,546 ","6,362 ","6,516 ","5,212 ","21,919 ","2,848 ","8,969 ","10,770 ","12,536 ","19,066 ","12,269 ","8,013 ","18,799 ","12,737 ","25,510 ","18,318 ","7,065 ","27,962 ","20,922 ","20,600 ","15,837 ","19,238 ","94,929 ","35,122 ","16,947 ","17,588 ","19,719 ","17,575 ","19,426 ","18,377 ","9,674 ","24,377 ","5,681 ","6,641 ","14,145 ","3,436 ","3,046 ","2,748 ","10,026 ","7,601 ","10,208 ","22,442 ","7,199 ","10,185 ","6,468 ","18,276 ","18,767 ","20,585 ","31,445 ","30,067 ","21,969 ","19,314 ","46,264 ","16,291 ","24,757 ","26,987 ","16,662 ","49,532 ","15,327 ","12,589 ","12,019 ","15,276 ","10,441 ","21,083 ","16,004 ","5,847 ","9,338 ","31,324 ","18,209 ","19,758 ","18,799 ","7,033 ","8,439 ","4,850 ","4,113 ","5,689 ","8,488 ","8,307 ","8,775 ","13,267 ","22,975 ","17,140 ","10,846 ","9,678 ","10,421 ","9,620 ","9,612 ","7,985 ","7,184 ","1,085 ","2,049 ","3,432 ","3,963 ","2,173 ","3,289 ","2,492 ","6,622 ","1,966 ","3,353 ","4,452 "
2022/7/7,"3,347 ","11,113 ","34,666 ","31,722 ","18,090 ","10,314 ","8,652 ","3,127 ","2,678 ","10,038 ","1,689 ","3,041 ","3,511 ","6,054 ","9,372 ","13,246 ","14,055 ","3,842 ","7,579 ","2,611 ","6,128 ","6,632 ","5,153 ","22,206 ","2,900 ","8,987 ","10,425 ","12,609 ","18,659 ","11,856 ","7,877 ","19,063 ","12,652 ","25,170 ","18,421 ","6,858 ","27,707 ","20,695 ","20,140 ","15,472 ","19,063 ","96,300 ","35,038 ","16,728 ","17,558 ","19,388 ","17,923 ","19,521 ","18,304 ","9,657 ","23,610 ","5,545 ","6,666 ","14,180 ","3,200 ","2,996 ","2,792 ","10,014 ","7,746 ","10,036 ","22,101 ","7,230 ","10,045 ","6,401 ","17,935 ","18,321 ","20,336 ","31,330 ","29,590 ","21,534 ","19,048 ","44,967 ","16,115 ","24,792 ","27,181 ","16,717 ","49,706 ","15,457 ","12,465 ","12,122 ","15,228 ","9,904 ","20,730 ","16,050 ","5,785 ","9,318 ","31,523 ","18,151 ","19,893 ","18,529 ","6,988 ","8,358 ","4,829 ","4,097 ","5,568 ","7,987 ","8,187 ","8,825 ","13,338 ","22,273 ","17,720 ","10,688 ","9,528 ","10,263 ","9,599 ","9,567 ","7,884 ","7,156 ","1,120 ","2,078 ","3,417 ","4,011 ","2,227 ","3,283 ","2,483 ","6,732 ","1,846 ","3,243 ","4,393 "
2022/7/8,"3,626 ","11,329 ","36,133 ","36,844 ","19,087 ","10,543 ","8,880 ","3,234 ","2,758 ","9,536 ","1,700 ","2,962 ","3,753 ","6,077 ","10,305 ","12,960 ","13,787 ","4,039 ","7,705 ","2,679 ","6,317 ","6,472 ","5,259 ","27,090 ","2,844 ","9,107 ","10,884 ","12,664 ","19,532 ","12,812 ","8,316 ","20,653 ","12,865 ","25,683 ","19,464 ","6,809 ","28,589 ","21,196 ","20,204 ","15,979 ","19,599 ","116,057 ","40,823 ","18,211 ","17,757 ","20,934 ","19,511 ","20,292 ","19,455 ","9,640 ","23,617 ","5,739 ","6,788 ","14,567 ","3,449 ","3,060 ","2,701 ","9,903 ","7,863 ","10,514 ","24,072 ","7,459 ","10,932 ","6,573 ","18,666 ","18,465 ","21,734 ","34,367 ","30,600 ","22,550 ","20,271 ","52,192 ","16,711 ","27,075 ","31,044 ","19,921 ","56,410 ","16,086 ","13,173 ","12,333 ","18,575 ","10,396 ","23,265 ","16,890 ","6,453 ","10,085 ","32,394 ","18,279 ","19,792 ","19,057 ","6,578 ","8,694 ","5,108 ","4,033 ","5,700 ","8,015 ","8,452 ","9,293 ","13,972 ","23,141 ","18,672 ","11,199 ","9,812 ","10,336 ","9,703 ","9,722 ","7,998 ","7,251 ","1,060 ","2,168 ","3,545 ","4,078 ","2,337 ","3,158 ","2,461 ","7,676 ","1,963 ","3,489 ","4,402 "
2022/7/9,"2,317 ","6,363 ","18,323 ","33,227 ","11,134 ","6,740 ","5,661 ","2,915 ","1,908 ","5,931 ","1,168 ","2,254 ","5,522 ","4,304 ","8,148 ","4,007 ","5,327 ","2,867 ","6,059 ","2,596 ","4,056 ","4,638 ","1,923 ","20,405 ","3,079 ","8,803 ","7,383 ","9,396 ","12,589 ","10,605 ","6,453 ","18,006 ","10,023 ","17,869 ","12,193 ","3,079 ","21,521 ","15,319 ","14,517 ","12,200 ","6,863 ","102,934 ","38,859 ","12,959 ","11,896 ","18,606 ","19,826 ","18,110 ","15,141 ","6,485 ","15,429 ","4,628 ","4,086 ","11,389 ","3,361 ","2,209 ","1,285 ","6,260 ","6,159 ","9,184 ","26,030 ","4,864 ","7,599 ","4,793 ","12,882 ","11,482 ","17,926 ","27,636 ","22,169 ","16,898 ","18,311 ","51,915 ","11,086 ","24,489 ","24,664 ","15,390 ","46,545 ","11,732 ","10,653 ","6,858 ","15,122 ","6,857 ","16,307 ","10,106 ","7,353 ","8,105 ","14,067 ","13,011 ","10,636 ","11,715 ","4,641 ","6,304 ","3,840 ","1,726 ","4,982 ","5,692 ","7,289 ","7,701 ","9,755 ","13,903 ","15,141 ","7,683 ","7,100 ","7,589 ","7,071 ","7,493 ","5,684 ","5,156 ",678 ,"1,758 ","2,364 ","3,403 ","1,027 ","1,146 ","1,498 ","6,349 ","1,539 ","2,576 ","2,591 "
2022/7/10,"1,996 ","5,186 ","13,733 ","25,250 ","8,843 ","5,549 ","4,606 ","2,617 ","1,697 ","4,842 ",964 ,"1,882 ","4,875 ","3,754 ","7,133 ","3,204 ","4,267 ","2,274 ","5,273 ","2,372 ","3,410 ","3,994 ","1,676 ","17,617 ","2,915 ","8,638 ","6,619 ","8,294 ","10,348 ","9,483 ","5,938 ","16,163 ","8,707 ","14,104 ","10,994 ","2,687 ","18,639 ","12,965 ","12,011 ","10,718 ","6,789 ","97,172 ","30,770 ","9,478 ","10,788 ","18,160 ","17,766 ","15,292 ","12,628 ","5,529 ","13,203 ","3,915 ","3,209 ","10,275 ","2,976 ","2,030 ","1,109 ","5,379 ","5,272 ","7,714 ","23,554 ","4,515 ","6,359 ","3,930 ","11,112 ","9,080 ","14,606 ","23,886 ","18,550 ","13,675 ","14,892 ","43,101 ","8,793 ","19,345 ","17,577 ","11,794 ","36,617 ","10,365 ","9,143 ","6,053 ","12,962 ","5,812 ","13,851 ","7,766 ","6,285 ","6,663 ","10,783 ","7,687 ","8,447 ","9,196 ","4,073 ","4,985 ","3,113 ","1,496 ","4,814 ","4,748 ","5,975 ","6,415 ","7,765 ","11,041 ","12,490 ","6,527 ","5,809 ","6,438 ","5,733 ","6,335 ","4,897 ","4,379 ",692 ,"1,610 ","2,263 ","3,255 ",839 ,"1,049 ","1,292 ","5,575 ","1,306 ","2,494 ","2,433 "
