"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022/1/1,"1,604 ","6,400 ","15,923 ","31,576 ","10,315 ","7,478 ","5,726 ","3,125 ","2,061 ","5,761 ","1,377 ","2,741 ","11,183 ","4,035 ","10,095 ","3,888 ","4,657 ","2,910 ","6,589 ","3,764 ","3,847 ","4,873 ","2,082 ","12,180 ","3,947 ","18,266 ","9,077 ","10,702 ","12,992 ","11,881 ","6,880 ","18,638 ","9,447 ","15,583 ","14,972 ","2,744 ","23,761 ","15,807 ","15,506 ","13,761 ","6,773 ","116,372 ","37,090 ","12,638 ","11,010 ","25,202 ","22,316 ","20,802 ","16,173 ","6,485 ","17,261 ","4,993 ","4,589 ","13,790 ","7,147 ","2,626 ","1,531 ","7,283 ","6,724 ","10,935 ","38,548 ","5,387 ","9,331 ","5,113 ","14,247 ","11,270 ","20,131 ","39,724 ","22,634 ","15,920 ","22,802 ","63,619 ","9,879 ","20,447 ","21,732 ","12,698 ","47,918 ","10,867 ","10,394 ","6,462 ","13,560 ","9,575 ","23,353 ","9,500 ","8,895 ","9,278 ","13,072 ","11,994 ","9,869 ","14,097 ","5,715 ","6,842 ","4,055 ","3,396 ","7,017 ","5,882 ","8,261 ","8,870 ","9,364 ","14,291 ","14,304 ","8,434 ","7,884 ","8,393 ","7,526 ","8,032 ","6,589 ","6,104 ",685 ,"2,264 ","2,675 ","3,956 ","1,040 ","1,239 ","1,613 ","9,552 ","1,772 ","3,355 ","2,943 "
2022/1/2,"2,161 ","5,816 ","13,390 ","27,062 ","9,448 ","7,100 ","5,371 ","2,948 ","1,961 ","6,295 ","1,154 ","2,195 ","6,324 ","4,403 ","7,701 ","3,789 ","4,859 ","3,036 ","6,150 ","2,968 ","4,082 ","4,636 ","1,710 ","10,491 ","3,173 ","12,251 ","7,765 ","9,619 ","12,075 ","11,135 ","6,661 ","17,419 ","9,851 ","15,540 ","12,979 ","2,692 ","21,699 ","14,681 ","14,001 ","12,595 ","5,396 ","104,684 ","30,954 ","10,470 ","11,518 ","17,610 ","18,729 ","18,407 ","14,579 ","6,220 ","16,087 ","4,818 ","4,048 ","12,867 ","5,199 ","2,472 ","1,277 ","6,595 ","5,939 ","8,793 ","29,443 ","5,163 ","7,470 ","4,527 ","12,974 ","10,214 ","16,707 ","30,536 ","21,002 ","14,947 ","18,414 ","46,027 ","8,907 ","17,779 ","18,272 ","11,711 ","37,530 ","10,621 ","9,579 ","6,326 ","12,052 ","7,324 ","16,963 ","8,751 ","15,427 ","7,215 ","11,262 ","9,154 ","9,565 ","10,750 ","6,092 ","5,504 ","3,427 ","3,596 ","5,676 ","5,130 ","6,585 ","7,535 ","8,645 ","12,124 ","14,676 ","7,030 ","6,919 ","7,365 ","6,808 ","6,903 ","5,832 ","5,394 ",747 ,"1,965 ","2,476 ","3,452 ",953 ,"1,200 ","1,388 ","7,577 ","1,505 ","2,714 ","2,539 "
2022/1/3,"3,504 ","12,606 ","36,712 ","31,670 ","22,286 ","12,711 ","10,200 ","3,518 ","3,113 ","13,151 ","1,943 ","4,400 ","4,197 ","9,264 ","9,403 ","16,861 ","16,702 ","5,320 ","8,306 ","3,114 ","8,130 ","8,001 ","5,734 ","24,648 ","2,910 ","10,657 ","12,130 ","14,831 ","21,906 ","15,733 ","8,819 ","22,208 ","13,988 ","27,955 ","21,459 ","8,837 ","32,414 ","23,496 ","23,514 ","18,765 ","20,934 ","95,908 ","32,376 ","18,215 ","20,162 ","23,125 ","23,798 ","24,430 ","20,120 ","11,969 ","28,738 ","6,406 ","7,404 ","17,817 ","4,231 ","3,423 ","3,109 ","14,004 ","8,984 ","11,527 ","29,599 ","8,665 ","12,015 ","7,181 ","21,266 ","22,083 ","22,761 ","33,179 ","35,642 ","24,104 ","22,532 ","43,901 ","19,532 ","27,076 ","26,575 ","16,556 ","50,358 ","18,264 ","14,040 ","13,470 ","17,038 ","11,855 ","22,097 ","17,003 ","6,538 ","9,996 ","33,654 ","20,300 ","22,299 ","21,149 ","14,214 ","10,396 ","5,404 ","4,742 ","6,214 ","9,658 ","8,697 ","10,830 ","14,698 ","25,923 ","18,370 ","12,642 ","11,775 ","11,775 ","11,468 ","11,017 ","10,848 ","8,938 ","1,407 ","2,428 ","3,773 ","4,468 ","2,343 ","3,483 ","2,801 ","7,353 ","2,274 ","3,733 ","4,470 "
2022/1/4,"3,465 ","13,335 ","38,880 ","33,975 ","23,405 ","12,969 ","10,536 ","3,761 ","3,112 ","13,499 ","1,995 ","4,474 ","4,314 ","9,222 ","9,983 ","17,525 ","17,196 ","5,413 ","8,905 ","3,164 ","8,194 ","8,269 ","6,027 ","25,515 ","3,023 ","10,753 ","12,409 ","14,744 ","22,329 ","16,035 ","9,077 ","21,554 ","14,344 ","29,721 ","22,532 ","9,138 ","33,365 ","24,526 ","24,163 ","19,193 ","22,158 ","94,191 ","33,797 ","19,110 ","20,979 ","24,491 ","23,986 ","25,225 ","21,088 ","12,169 ","29,152 ","6,496 ","7,780 ","18,010 ","4,473 ","3,656 ","3,288 ","14,039 ","9,353 ","11,407 ","28,560 ","8,685 ","12,111 ","7,293 ","21,742 ","22,864 ","23,662 ","33,676 ","36,292 ","24,791 ","22,364 ","45,237 ","20,947 ","27,313 ","28,226 ","17,713 ","52,386 ","19,420 ","14,527 ","13,654 ","17,547 ","12,252 ","22,939 ","17,687 ","6,869 ","10,216 ","34,793 ","21,052 ","23,073 ","21,093 ","13,896 ","10,684 ","5,478 ","4,764 ","6,337 ","9,934 ","8,923 ","10,981 ","15,461 ","25,778 ","20,237 ","12,915 ","12,023 ","11,986 ","11,718 ","11,141 ","11,033 ","9,015 ","1,411 ","2,424 ","3,904 ","4,563 ","2,327 ","3,507 ","2,933 ","7,073 ","2,366 ","3,756 ","4,475 "
2022/1/5,"3,224 ","13,269 ","39,675 ","35,633 ","23,765 ","13,358 ","10,515 ","3,709 ","3,253 ","13,326 ","2,034 ","4,472 ","4,234 ","9,386 ","10,190 ","17,438 ","17,351 ","5,333 ","8,820 ","3,169 ","8,419 ","8,386 ","5,981 ","25,885 ","2,920 ","11,148 ","12,613 ","15,015 ","22,730 ","16,343 ","9,156 ","22,279 ","14,719 ","30,179 ","23,699 ","9,185 ","33,584 ","24,460 ","24,153 ","19,566 ","22,009 ","97,430 ","35,995 ","19,717 ","21,703 ","24,682 ","24,488 ","25,378 ","21,592 ","12,408 ","30,020 ","6,552 ","7,903 ","18,368 ","4,557 ","3,611 ","3,376 ","13,820 ","9,186 ","11,551 ","28,441 ","8,768 ","12,243 ","7,515 ","21,843 ","22,802 ","24,388 ","34,465 ","36,984 ","25,057 ","22,472 ","47,550 ","21,587 ","28,318 ","29,675 ","18,301 ","53,386 ","18,705 ","14,782 ","13,804 ","18,069 ","12,496 ","23,137 ","18,259 ","7,072 ","10,543 ","35,880 ","21,707 ","23,137 ","21,486 ","13,691 ","10,434 ","5,640 ","4,956 ","6,430 ","10,011 ","9,227 ","11,340 ","15,849 ","26,729 ","20,840 ","13,140 ","12,065 ","12,211 ","11,599 ","11,186 ","10,995 ","9,214 ","1,471 ","2,508 ","3,856 ","4,610 ","2,458 ","3,508 ","2,958 ","7,015 ","2,367 ","3,737 ","4,555 "
2022/1/6,"3,277 ","13,569 ","40,259 ","36,511 ","24,099 ","13,842 ","10,862 ","3,879 ","3,156 ","13,971 ","1,992 ","4,516 ","3,927 ","9,513 ","10,201 ","17,773 ","17,643 ","5,414 ","9,286 ","2,926 ","8,625 ","8,316 ","6,185 ","25,890 ","3,218 ","10,490 ","12,847 ","15,123 ","22,702 ","16,279 ","9,398 ","22,403 ","15,197 ","30,671 ","23,652 ","9,267 ","34,107 ","24,848 ","24,567 ","19,570 ","22,146 ","101,739 ","36,916 ","19,480 ","21,468 ","24,303 ","24,043 ","24,905 ","21,215 ","12,099 ","29,443 ","6,572 ","7,929 ","18,438 ","4,699 ","3,630 ","3,299 ","14,031 ","9,226 ","11,504 ","27,559 ","8,801 ","12,377 ","7,391 ","21,862 ","23,015 ","24,337 ","35,413 ","36,711 ","25,149 ","22,402 ","48,007 ","21,919 ","28,893 ","30,409 ","18,757 ","55,388 ","19,479 ","14,907 ","14,177 ","18,571 ","12,360 ","23,589 ","18,590 ","6,796 ","10,529 ","36,601 ","22,620 ","23,669 ","21,303 ","14,005 ","10,447 ","5,704 ","4,886 ","6,565 ","10,041 ","9,074 ","10,904 ","15,978 ","26,764 ","20,521 ","13,173 ","12,011 ","12,354 ","11,917 ","11,374 ","11,005 ","9,085 ","1,401 ","2,584 ","3,956 ","4,760 ","2,415 ","3,494 ","2,945 ","7,261 ","2,326 ","3,868 ","4,482 "
2022/1/7,"3,434 ","14,169 ","42,777 ","42,241 ","25,389 ","14,072 ","11,362 ","3,920 ","3,265 ","13,640 ","2,039 ","4,588 ","4,217 ","9,423 ","13,288 ","17,494 ","17,578 ","5,815 ","9,388 ","3,142 ","8,598 ","8,740 ","6,423 ","26,772 ","3,135 ","10,871 ","13,002 ","15,750 ","23,837 ","16,950 ","9,909 ","24,762 ","16,272 ","31,322 ","24,740 ","9,553 ","35,022 ","25,432 ","25,162 ","19,785 ","23,030 ","127,107 ","43,551 ","20,514 ","22,365 ","26,403 ","25,488 ","26,264 ","23,237 ","12,520 ","30,851 ","6,786 ","8,350 ","19,273 ","4,918 ","3,646 ","3,295 ","13,592 ","9,651 ","11,772 ","28,752 ","9,355 ","13,305 ","7,998 ","22,522 ","23,462 ","26,474 ","39,393 ","38,102 ","26,361 ","23,829 ","57,623 ","22,697 ","32,022 ","35,360 ","21,069 ","62,992 ","20,567 ","15,585 ","14,166 ","21,125 ","12,592 ","29,211 ","20,090 ","7,309 ","11,647 ","38,551 ","23,651 ","24,487 ","22,812 ","13,826 ","11,389 ","6,114 ","4,980 ","7,004 ","10,468 ","9,743 ","11,551 ","17,019 ","28,518 ","22,329 ","13,672 ","12,655 ","12,963 ","12,216 ","11,654 ","11,293 ","9,427 ","1,447 ","2,692 ","4,034 ","5,039 ","2,665 ","3,592 ","2,969 ","8,941 ","2,637 ","4,181 ","5,046 "
2022/1/8,"1,866 ","8,389 ","21,989 ","37,681 ","14,157 ","8,692 ","7,041 ","3,201 ","2,266 ","7,677 ","1,419 ","2,915 ","5,742 ","5,494 ","10,371 ","4,791 ","6,276 ","3,615 ","7,493 ","2,930 ","4,847 ","5,654 ","2,072 ","15,604 ","3,176 ","10,870 ","9,170 ","11,327 ","15,440 ","14,541 ","7,510 ","21,502 ","13,045 ","23,220 ","17,374 ","3,750 ","26,177 ","18,094 ","17,363 ","14,946 ","8,295 ","106,798 ","42,837 ","15,827 ","14,535 ","24,589 ","20,441 ","20,649 ","17,569 ","8,120 ","21,033 ","5,476 ","5,334 ","14,598 ","5,277 ","3,000 ","1,521 ","7,637 ","7,347 ","8,877 ","23,873 ","5,478 ","9,228 ","5,684 ","15,596 ","14,222 ","22,303 ","31,272 ","26,558 ","19,411 ","21,496 ","57,423 ","13,505 ","27,197 ","29,220 ","16,119 ","49,563 ","13,668 ","11,814 ","9,666 ","14,967 ","7,656 ","24,683 ","12,219 ","8,106 ","9,221 ","17,740 ","14,845 ","12,924 ","13,909 ","7,377 ","9,056 ","4,501 ","2,465 ","5,407 ","6,831 ","8,376 ","9,665 ","11,806 ","17,556 ","17,459 ","9,167 ","8,693 ","9,595 ","8,411 ","8,814 ","6,933 ","6,674 ",880 ,"2,170 ","2,676 ","3,939 ","1,289 ","1,292 ","1,915 ","6,849 ","1,870 ","3,074 ","2,966 "
2022/1/9,"1,801 ","5,928 ","14,672 ","27,060 ","9,877 ","6,526 ","5,339 ","2,935 ","1,834 ","6,117 ","1,070 ","2,188 ","4,793 ","4,676 ","8,764 ","3,639 ","4,676 ","3,144 ","5,997 ","2,910 ","3,924 ","4,608 ","1,807 ","12,916 ","2,869 ","10,407 ","7,590 ","9,786 ","12,109 ","11,193 ","6,665 ","18,348 ","10,934 ","17,512 ","14,971 ","3,136 ","21,463 ","15,067 ","14,163 ","12,248 ","5,996 ","93,223 ","33,235 ","10,995 ","12,769 ","22,578 ","18,092 ","17,272 ","14,529 ","6,247 ","16,108 ","4,639 ","4,605 ","12,860 ","4,596 ","2,414 ","1,331 ","6,467 ","6,071 ","8,105 ","23,654 ","4,635 ","7,199 ","4,606 ","12,438 ","10,416 ","17,378 ","25,282 ","21,198 ","15,235 ","17,628 ","44,389 ","10,081 ","20,650 ","19,786 ","12,517 ","37,030 ","11,208 ","10,029 ","7,613 ","12,160 ","6,491 ","18,468 ","8,981 ","7,487 ","7,184 ","12,145 ","8,302 ","9,911 ","10,710 ","5,546 ","7,059 ","3,484 ","1,849 ","4,573 ","5,235 ","6,536 ","7,685 ","8,789 ","13,236 ","15,560 ","7,295 ","6,757 ","7,399 ","6,562 ","7,213 ","5,633 ","5,193 ",732 ,"1,754 ","2,352 ","3,409 ",966 ,"1,103 ","1,434 ","5,914 ","1,499 ","2,572 ","2,455 "
2022/1/10,"3,390 ","12,988 ","38,442 ","32,364 ","22,562 ","12,599 ","10,538 ","3,627 ","3,088 ","13,361 ","1,955 ","4,474 ","3,722 ","9,312 ","9,922 ","15,530 ","16,711 ","5,234 ","8,595 ","2,905 ","8,122 ","7,999 ","5,773 ","25,066 ","2,850 ","10,236 ","12,221 ","14,460 ","21,943 ","15,827 ","8,845 ","21,628 ","13,990 ","28,245 ","21,720 ","8,948 ","32,556 ","23,842 ","23,780 ","18,936 ","21,965 ","94,972 ","33,334 ","18,792 ","20,755 ","23,012 ","23,237 ","24,298 ","20,662 ","11,569 ","29,256 ","6,401 ","7,579 ","17,601 ","4,126 ","3,546 ","3,187 ","13,350 ","9,204 ","11,217 ","27,883 ","8,733 ","11,989 ","7,331 ","21,438 ","22,383 ","23,426 ","33,285 ","35,889 ","24,368 ","21,782 ","45,203 ","20,035 ","27,440 ","27,942 ","17,040 ","51,836 ","18,377 ","14,381 ","13,615 ","17,159 ","11,740 ","24,823 ","17,337 ","6,391 ","10,003 ","34,470 ","20,554 ","22,255 ","20,769 ","13,508 ","10,498 ","5,531 ","4,651 ","6,190 ","9,694 ","8,856 ","10,865 ","15,044 ","25,710 ","18,937 ","12,708 ","11,845 ","11,990 ","11,543 ","11,054 ","10,687 ","8,899 ","1,421 ","2,357 ","3,710 ","4,546 ","2,488 ","3,411 ","2,868 ","7,042 ","2,284 ","3,734 ","4,453 "
